symbol	company	yayk	nayk	mayk	yay	nay	may	desc
SGLLV.AX	Ricegrowers Limited	16	2	3	clojure.lang.LazySeq@8f3a119d	clojure.lang.LazySeq@de613e52	clojure.lang.LazySeq@8f36d49b	Ricegrowers Limited, operates as a rice food company in Australia and internationally. The company operates through Rice Pool, International Rice, Rice Food, Riviana Foods, and CopRice segments. It engages in the receipt and storage of paddy rice; milling, manufacturing, procurement, distribution, and marketing of rice and related products, as well as other grocery products, gourmet, and entertainment food products; research and development into the growing of rice; processing of rice and related products; and property business. The company offers everyday rice, microwave rice, healthy rice, rice snacks, low GI rice, and bulk bag rice, as well as rice for restaurants. It also provides animal feed and nutrition products. The company offers its products under the Sunwhite, Solrice, Trukai, CopRice, Hinode, Always Fresh, Admiral, Captain, Riviana, Mahatma, Menu Master, Garden Supreme, and Ocean Supreme brands. Ricegrowers Limited was founded in 1950 and is based in Sydney, Australia.
PET.AX	Peters MacGregor Investments Ltd	12	1	4	clojure.lang.LazySeq@ea993ee5	clojure.lang.LazySeq@3e10556	clojure.lang.LazySeq@45563514	Phoslock Environmental Technologies Limited engages in the design, engineering, and project implementation solutions for water related projects and water treatment products. It offers Phoslock, a lanthanum modified bentonite material that removes excess phosphate from water and reduces the growth of harmful algae; Zeolite that is applied to heavily polluted water in order to bind nitrogen; and Bacteria for use in water treatment processes to enhance the quality of water. The company's products are used to clean up lakes, rivers, canals, and drinking water reservoirs. It offers its products through licensees and sales agents in Australia and New Zealand; Europe and the United Kingdom; the United States, Canada, and Brazil; and China. The company was formerly known as Phoslock Water Solutions Limited and changed its name to Phoslock Environmental Technologies Limited in August 2018. Phoslock Water Solutions Limited was founded in 2002 and is headquartered in Melbourne, Australia.
MPL.AX	Medibank Private Limited	12	0	2	clojure.lang.LazySeq@6b8ec381	clojure.lang.LazySeq@1	clojure.lang.LazySeq@e3952fc1	Medibank Private Limited, an integrated healthcare company, provides private health insurance and health solutions in Australia. The company operates through two segments, Health Insurance and Medibank Health. The Health Insurance segment offers private health insurance products, including hospital cover that provides members with health cover for hospital treatments; and ancillary cover, which offers members with health cover for healthcare services, such as dental, optical, and physiotherapy. This segment also provides health insurance products to overseas visitors and overseas students. The Medibank Health segment offers health management and telehealth services to government and corporate customers, as well as distributes travel, life, and pet insurance products. Medibank Private Limited underwrites its health insurance products under the Medibank and ahm brands. The company was founded in 1976 and is based in Docklands, Australia.
FFF.AX	First Folio Ltd	10	1	3	clojure.lang.LazySeq@3b36f5c7	clojure.lang.LazySeq@965a4b5c	clojure.lang.LazySeq@15eb07fe	Forbidden Foods Limited supplies organic rice, conventional rice, rice flour, and rice food solutions in Australia and New Zealand. It offers black, organic, and conventional rice; and rice flour, flakes, and syrups under the Forbidden brand; and range of flours, powders, grains, and blends for plant-based food home-cooks and food manufactures under the Sensory Mill brand. The company also provides its products under the FUNCH brand name. It serves retail, food service, and quick service restaurant customers through e-commerce. The company also exports its products to New Zealand, Ireland, Singapore, and the United States. Forbidden Foods Limited was founded in 2010 and is based in Box Hill South, Australia.
BKL.AX	Blackmores Laboratories Ltd	10	3	3	clojure.lang.LazySeq@741d820e	clojure.lang.LazySeq@55a7c30	clojure.lang.LazySeq@41a7fae7	Blackmores Limited develops, sells, and markets natural health products for humans and animals in Australia, New Zealand, Asia, China, and internationally. The company offers vitamins, and herbal and mineral nutritional supplements. It also provides products for various conditions related to arthritis, joints, bones, and muscles; brain health; cold, flu, and immunity; digestive health; energy and exercise; essentials; everyday health; and eye health. In addition, the company offers products in the areas of fish and nutritional oils; heart and circulation; infant nutrition; kids health; men's health; multivitamins; nails, hair, and skin; pet health; probiotics; pregnancy and preconception; stress relief; weight management; and women's health. It provides its products through retail and online channels. The company was founded in 1930 and is headquartered in Sydney, Australia.
DEM.AX	De.mem Limited	9	1	2	clojure.lang.LazySeq@1a96532f	clojure.lang.LazySeq@1adf1	clojure.lang.LazySeq@f473feb1	De.mem Limited designs, builds, owns, and operates de-centralized water and waste water treatment systems for its customers in industrial, municipal, and residential sectors. The company offers disinfection systems, such as chlorination and ultraviolet systems; biological treatments that include aerobic and anaerobic treatments; chemical dosing systems and chemical treatments; membrane based water treatment systems, including microfiltration, ultrafiltration, hollow fiber nano filtration, reverse osmosis, membrane bioreactors, and hollow fire forward osmosis; and other specialized treatment processes, such as dissolved air filtration, media filtration, and ion exchange. It also provides product life cycle and automation tools; and sludge management services. In addition, the company offers potable water supply, sewage treatment, industrial waste water, recycling, desalination, and process water solutions. Further, it provides operation and maintenance of water or waste water treatment systems; and consulting, engineering, and optimization services. The company serves mining, electronics, chemicals, oil and gas, and food and beverage industries. De.mem Limited was founded in 2013 and is based in South Melbourne, Australia.
ORG.AX	Origin Energy Ltd	9	4	7	clojure.lang.LazySeq@2e42a9ab	clojure.lang.LazySeq@4e96a0ac	clojure.lang.LazySeq@cc1c801f	Origin Energy Limited, an integrated energy company, engages in the exploration and production of natural gas, electricity generation, wholesale and retail sale of electricity and gas, and sale of liquefied natural gas in Australia and internationally. The company operates in Energy Markets and Integrated Gas segments. Its exploration and production portfolio includes the Bowen and Surat basins in Queensland; the Browse basin in Western Australia; and the Beetaloo basin in the Northern Territory. The company also generates electricity from coal, wind, pumped water storage, solar, and cogeneration plants; sells electricity, natural gas, and LPG; provides GreenPower and green gas products; and supplies LPG to homes and businesses. In addition, it offers electric and gas hot water systems, as well as hot water systems repair and replacement services; split system air conditioners; ducted and space heating solutions; ducted evaporative cooling systems; and ducted reverse cycle air conditioning systems. Origin Energy Limited was founded in 1946 and is based in Barangaroo, Australia.
RWC.AX	Reliance Worldwide Corporation Limited	8	1	3	clojure.lang.LazySeq@e9d6f2c1	clojure.lang.LazySeq@3e10556	clojure.lang.LazySeq@5871942b	Reliance Worldwide Corporation Limited, together with its subsidiaries, designs, manufactures, and supplies water flow, control, and monitoring products and solutions for residential, commercial, and industrial applications. It offers fittings and pipes, including plumbing fittings, piping, and related products for the installation and repair of water reticulation systems; pipe support systems; and firestop solutions. The company also provides control valves, such as temperature and pressure relief valves for domestic and commercial storage hot water systems; non-return isolating valves; pressure regulation valves; backflow prevention devices; and specialist water safety valves. In addition, it offers thermostatic products comprising a range of thermostatic mixing valves, tempering valves, and thermostatic cartridges; and other products, which include underfloor heating components and kit systems, and water meters, including pneumatic and hydraulic fittings, water mains connection fittings, and repair sleeves and fire safety system products. The company provides its products under the SharkBite, JG Speedfit, HoldRite, CashAcme, Reliance Valves, StreamLabs, and John Guest brands. It has operations in Australia, New Zealand, Korea, China, the United States, Canada, the United Kingdom, Spain, Italy, Germany, France, the Czech Republic, and Poland. Reliance Worldwide Corporation Limited was founded in 1949 and is headquartered in Atlanta, Georgia.
WAT.AX	Waterco Ltd	8	0	21	clojure.lang.LazySeq@fb56cfc1	clojure.lang.LazySeq@1	clojure.lang.LazySeq@cbd9f1bc	Waterco Limited engages in the manufacture, wholesale, and export of equipment and accessories in the swimming pool, spa pool, spa bath, rural pump, and water treatment industries in Australia, New Zealand, Asia, North America, and Europe. It also manufactures and sells solar heating systems for swimming pools and pre-heat industrial solar systems. The company's pool and spa products comprise infloor cleaning systems, mineral crystals, swimming pool pumps, filtration systems, pool heating products, chlorine free spa products, controllers and automation products, pool lighting products, sunction and robotic pool cleaners, and commercial products. Its pool and spa products also include pool filter media products, recirculation and maintenance accessories, blowers, values, spa equipment, chemical pool products, sensation and enviropro eco range products, ozone mineral pool products, and test kits. The company's water treatment products include commercial filter media and cooling water filtration products, cartridge and bag filters, centrifugal filters, and fiberglass media filters; and residential pressure pumps, centrifugal filters, water filters, water softeners, and drinking water purifiers. It also provides aquaculture equipment, such as aquabiome mechanical and biological filters, aquaculture heating and pup ranges, bio-mec bead media, multicyclones, and spa airflo blowers. In addition, the company franchises retail outlets for swimming pool equipment and accessories. Further, it engages in formulating, packing, and distributing swimming pool chemicals to independent pool stores and stores in its Swimart franchise network. It operates 68 stores and 9 mobile franchises under the Swimart names, and 15 WaterShoppe stores. Waterco Limited was founded in 1981 and is headquartered in Rydalmere, Australia.
IFT.AX	Infratil Limited.	8	1	6	clojure.lang.LazySeq@d4f39d5b	clojure.lang.LazySeq@6d12f681	clojure.lang.LazySeq@135aeeda	Infratil Limited owns and operates infrastructure businesses and investments primarily in New Zealand, Australia, the United States, and Europe. It operates through Trustpower, Tilt Renewables, Wellington International Airport, NZ Bus, Perth Energy, Associate, and All Other Segments and Corporate segments. The company retails electricity, natural gas, bottled LNG, and telecommunication services; develops, owns, and generates renewable energy; develops utility-scale wind and solar generation throughout North America; develops wind, solar PV energy projects, and storage solutions; and provides outsourced data center services to government and commercial entities. In addition, the company owns and manages a portfolio of commercial real estate properties; operates retirement living units and apartments; operates airport; and provides finance services. It owns and operates 22 hydro power stations with a total installed capacity of 516MW; has 280,000 electricity customer connections, 31,500 gas customer connections, and 65,000 telecommunications customer connections; and has 322 operating turbines in 8 wind farms with a total installed capacity of 636MW. The company was founded in 1994 and is based in Wellington, New Zealand.
