symbol	company	yayk	nayk	mayk	yay	nay	may	desc
HAIN	Hain Celestial Group	20	4	9	clojure.lang.LazySeq@33adc2cb	clojure.lang.LazySeq@d5eb36bb	clojure.lang.LazySeq@f1ea156a	The Hain Celestial Group, Inc. manufactures, markets, and sells organic and natural products in United States, United Kingdom, and internationally. It operates through two segments, North America and International. The company offers infant formula; infant, toddler, and kids food; plant-based beverages and frozen desserts, such as soy, rice, oat, almond, and coconut; and condiments. It also provides cooking and culinary oils; cereal bars; canned, chilled fresh, aseptic, and instant soups; yogurts, chilis, chocolate, and nut butters; and juices. In addition, the company offers hot-eating desserts, cookies, frozen fruit and vegetables, pre-cut fresh fruits, refrigerated and frozen plant-based meat-alternative products, jams, fruit spreads, jellies, honey, natural sweeteners, and marmalade products, as well as other food products. Further, it provides snack products comprising potato, root vegetable and other exotic vegetable chips, straws, tortilla chips, whole grain chips, pita chips, and puffs; and personal care products that include hand, skin, hair, and oral care products, as well as deodorants, baby care items, body washes, sunscreens, and lotions under the Alba Botanica, Avalon Organics, Earth's Best, JASON, Live Clean, and Queen Helene brands name. Additionally, the company offers herbal, green, black, wellness, rooibos, and chai tea under the Celestial Seasonings brand. It sells pantry products under the Spectrum, Spectrum Essentials, MaraNatha, Imagine broths, Hain Pure Foods, Health Valley, Hollywood, Westbrae, Almond Dream, Coconut Dream, Rice Dream, Oat Dream, Soy Dream, and DreamTM brand names. It sells its products through specialty and natural food distributors, supermarkets, natural food stores, mass-market and e-commerce retailers, food service channels and clubs, and drug and convenience stores in approximately 75 countries worldwide. The company was founded in 1993 and is headquartered in Lake Success, New York.
STKL	Sunopta Inc	18	3	7	clojure.lang.LazySeq@a06f098c	clojure.lang.LazySeq@683aff1	clojure.lang.LazySeq@dafc5d3d	SunOpta Inc. manufactures and sells plant-based and fruit-based food and beverage products to retail customers, foodservice distributors, branded food companies, and food manufacturers; and sources and produces organic and non-genetically modified (non-GMO) ingredients for food industry worldwide. The company operates through three segments: Global Ingredients, Plant-Based Foods and Beverages, and Fruit-Based Foods and Beverages. The Global Ingredients segment offers organic and non-GMO ingredients that includes fruits, vegetables, oils, fats, coffee, nuts, dried fruits, sugars, liquid sweeteners, seeds, grains, rice, and pulses. This segment also processes value-added ingredients, such as cocoa liquor, butter and powder, sunflower kernel, oil and cakes, sesame seeds, and avocado oil; and produces consumer-packaged juice products, including private label orange juices, lemonades, and functional waters through third-party manufacturers. The Plant-Based Foods and Beverages segment provides plant-based beverages, and liquid and dry ingredients that utilizes almond, soy, coconut, oat, hemp, and other bases, as well as broths, teas, and nutritional beverages. This segment also packages dry- and oil-roasted in-shell sunflower and sunflower kernels, as well as corn-, soy-, and legume-based roasted snacks; and processes and sells raw sunflower inshell and kernel for food and feed applications. The Fruit-Based Foods and Beverages segment offers individually quick frozen (IQF) fruits, such as strawberries, blueberries, mangos, pineapples, blends, and other berries for retail; and IQF and bulk frozen fruits, including pur̩es, fruit cups, and smoothies for foodservice, and custom fruit preparations for industrial use. This segment also provides fruit snacks comprising bars, twists, ropes, and bite-sized products. The company was formerly known as Stake Technology Ltd. and changed its name to SunOpta Inc. in October 2003. SunOpta Inc. was founded in 1973 and is headquartered in Mississauga, Canada.
CLNE	Clean Energy Fuels	18	12	8	clojure.lang.LazySeq@e35b3dd	clojure.lang.LazySeq@6834f4c2	clojure.lang.LazySeq@1a58b7af	Clean Energy Fuels Corp. provides natural gas as an alternative fuel for vehicle fleets, primarily in the United States and Canada. The company supplies renewable natural gas (RNG), compressed natural gas (CNG), and liquefied natural gas (LNG) for light, medium, and heavy-duty vehicles; and offers operation and maintenance services for public and private vehicle fleet customer stations. It also designs, builds, operates, and maintains fueling stations; sells and services natural gas fueling compressors and other equipment that are used in CNG and LNG stations; and provides assessment, design, and modification solutions to offer operators with code-compliant service and maintenance facilities for natural gas vehicle fleets. In addition, the company transports and sells CNG and LNG through virtual natural gas pipelines and interconnects; procures and sells RNG; sells tradable credits, such as RNG and conventional natural gas as a vehicle fuel comprising Renewable Identification Numbers and Low Carbon Fuel Standards credits; enables its customers to acquire and finance natural gas vehicles; and obtains federal, state and local credits, grants, and incentives. It serves heavy-duty trucking, airports, refuse, public transit, industrial, and institutional energy users, as well as government fleets. As of December 31, 2019, the company served approximately 1,000 fleet customers operating approximately 48,000 natural gas vehicles; and owned, operated, or supplied approximately 550 natural gas fueling stations in 41 states in the United States and four provinces in Canada. Clean Energy Fuels Corp. was incorporated in 2001 and is headquartered in Newport Beach, California.
MBII	Marrone Bio Innov	17	2	1	clojure.lang.LazySeq@f60d5e07	clojure.lang.LazySeq@63ef72	clojure.lang.LazySeq@86da3fbe	Marrone Bio Innovations, Inc. discovers, develops, produces, and promotes biological products for pest management, plant nutrition, and plant health in the United States and internationally. Its products include Regalia, a plant extract-based fungicidal biopesticide for plant disease and plant health; Grandevo, a bioinsecticide for insect and mite control; Venerate, a bioinsecticide, which controls chewing and sucking insects and mites, as well as flies and plant parasitic nematodes; and Majestene, a bionematicide to control soil-dwelling nematodes by preventing and reducing root galls, and reducing adult reproduction and egg hatch, as well as controls soil borne insects. The company also provides Stargus, a biofungicide to control plant diseases, such as Sclerotinia white molds, gray mold/bunch rot, and downy mildews; and Haven, a plant health product that is applied to the leaves of plants to reduce sun stress. In addition, it offers Zequanox, a biomolluscicide that controls invasive mussels, which cause infrastructure and ecological damage primarily to power and industrial companies. Additionally, the company provides Pro Farm products for increasing plant health, yield and quality; and Jet-Ag and Jet-Oxide, peroxyacetic acid-based plant health product lines that stops molds and bacteria on plants and other surfaces. Marrone Bio Innovations, Inc. serves agricultural and water treatment markets. The company provides its products directly through sales force, as well as through distributors. The company formerly known as Marrone Organic Innovations, Inc. Marrone Bio Innovations, Inc. was founded in 2006 and is headquartered in Davis, California.
CSIQ	Canadian Solar Inc	16	0	5	clojure.lang.LazySeq@d5ce2d7e	clojure.lang.LazySeq@1	clojure.lang.LazySeq@dbf13fff	Canadian Solar Inc., together with its subsidiaries, designs, develops, manufactures, and sells solar ingots, wafers, cells, modules, and other solar power products. The company operates through two segments, Module and System Solutions (MSS), and Energy. The MSS segment engages in the design, development, manufacture, and sale of a range of solar power products, including standard solar modules, specialty solar products, and solar system kits that are a ready-to-install packages comprising inverters, racking systems, and other accessories. It also provides engineering, procurement, and construction; and operation and maintenance (O&M) services. This segment's energy solution products include solar inverters and energy storage systems for utility, commercial, residential, and specialty product applications. Its O&M services include inspections, repair, and replacement of plant equipment; and site management and administrative support services for solar power projects. The Energy segment engages in the development and sale of solar power projects; and operation of solar power plants and sale of electricity. As of January 31, 2020, this segment had a fleet of solar power plants in operation with an aggregate capacity of approximately 880.2 MWp. The company's primary customers include distributors, system integrators, project developers, and installers/EPC companies. Canadian Solar Inc. sells its products primarily under its Canadian Solar brand name; and on an OEM basis. It has operations in North America, South America, Europe, South Africa, the Middle East, Australia, Asia, and internationally. The company was founded in 2001 and is headquartered in Guelph, Canada.
FRTA	Forterra Inc	14	0	2	clojure.lang.LazySeq@5fe5eb4a	clojure.lang.LazySeq@1	clojure.lang.LazySeq@9a746f0c	Forterra, Inc. manufactures and sells pipe and precast products the United States, Canada, and Mexico. It operates through Drainage Pipe & Products; and Water Pipe & Products segments. The company offers concrete drainage pipes used for storm water applications, residential and non-residential site developments, sanitary sewers, low-pressure sewer force mains, tunneled systems, treatment plant piping, and utility tunnels. It provides box culverts, utility vaults, manholes, drainage inlets, and pipe end sections used for roadway and airport drainage, storm water management, utility construction, and water treatment and filtration systems; and architectural panels for buildings, modular railroad crossings, retaining wall and storm water treatment systems, highway noise barriers, and concrete vaults that are used to house dry or wet utilities. The company offers hollow-core planks, prestressed bridge girders, beams, columns, wall panels, stairs, garage floors, and architectural claddings for infrastructure and non-residential applications; and precast concrete bridge girders for highway projects. It provides precast concrete foundation to support prefabricated shelters or equipment buildings; precast product that consolidates and protects underground electrical and communication cables; and storm water technologies for storm water management market. The company offers ductile iron pipes for transmission and distribution of potable and waste water, and smaller diameter applications; concrete pressure pipes for water transmission and distribution, power plant cooling water lines, sewage force mains for waste and storm water, and other various applications; and prestressed concrete and bar-wrapped concrete pipes. It serves construction contractors, developers, utility companies and contractors, municipalities, and waterworks distributors and contractors through distributors. The company was founded in 1899 and is headquartered in Irving, Texas.
ARTNA	Artesian Res Cp A	10	0	2	clojure.lang.LazySeq@d1465a4d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@33d8607d	Artesian Resources Corporation, through its subsidiaries, provides water, wastewater, and other services on the Delmarva Peninsula. The company distributes and sells water to residential, commercial, industrial, governmental, municipal, and utility customers, as well as for public and private fire protection in the states of Delaware, Maryland, and Pennsylvania; and offers wastewater collection, treatment infrastructure, and wastewater services to customers in Delaware. It also provides contract water and wastewater services; water, sewer, and internal service line protection plans; and wastewater management services, as well as design, construction, and engineering services. In addition, the company offers services to other water utilities, including operations and billing functions; owns real estate properties, including land for office buildings, a water treatment plant, and wastewater facility; and provides designing, installing, maintaining, and repairing services for storm water management systems. As of December 31, 2019, it served approximately 87,800 metered water customers in Delaware, 2,500 metered water customers in Maryland, and 40 customers in Pennsylvania through 1,331 miles of transmission and distribution mains. Artesian Resources Corporation was founded in 1905 and is headquartered in Newark, Delaware.
HWKN	Hawkins Inc	10	1	6	clojure.lang.LazySeq@35c18faa	clojure.lang.LazySeq@f8c1f362	clojure.lang.LazySeq@bb17bb57	Hawkins, Inc. blends, manufactures, and distributes chemicals and other specialty ingredients in the United States and internationally. It operates through three segments: Industrial, Water Treatment, and Health and Nutrition. The Industrial segment offers industrial chemicals, products, and services to agriculture, chemical processing, electronics, energy, food, pharmaceutical, and plating industries. This segment primarily provides acids, alkalis, and industrial and food-grade salts. It also receives, stores, and distributes various chemicals in bulk quantities, such as liquid caustic soda, sulfuric acid, hydrochloric acid, urea, phosphoric acid, aqua ammonia, and potassium hydroxide. In addition, this segment manufactures sodium hypochlorite and agricultural products, as well as various food-grade products that include liquid phosphates, lactates, and other blended products; repackages water treatment chemicals and bulk industrial chemicals; and performs custom blending of chemicals, and contract and private label bleach packaging. The Water Treatment segment offers chemicals, equipment, and solutions for potable water, municipal and industrial wastewater, industrial process water, and non-residential swimming pool and agriculture water. The Health and Nutrition segment offers ingredient distribution, processing, and formulation solutions to manufacturers of nutraceutical, functional food and beverage, personal care, dietary supplement and other nutritional food, and health and wellness products. Its products portfolio includes minerals, botanicals and herbs, vitamins and amino acids, excipients, joint products, sweeteners, and enzymes. The company was founded in 1938 and is headquartered in Roseville, Minnesota.
XEL	XCEL Energy Inc	10	8	3	clojure.lang.LazySeq@78e073e2	clojure.lang.LazySeq@91f0a5c	clojure.lang.LazySeq@89bac627	Xcel Energy Inc., through its subsidiaries, generates, purchases, transmits, distributes, and sells electricity. It operates through Regulated Electric Utility, Regulated Natural Gas Utility, and All Other segments. The company generates electricity through coal, nuclear, natural gas, hydroelectric, solar, biomass, oil, wood/refuse, and wind energy sources. It also purchases, transports, distributes, and sells natural gas to retail customers, as well as transports customer-owned natural gas. In addition, the company develops and leases natural gas pipelines, and storage and compression facilities; and invests in rental housing projects, as well as procures equipment for construction of renewable generation facilities. It serves residential, commercial, and industrial customers in the portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. The company sells electricity to approximately 3.7 million customers; and natural gas to approximately 2.1 million customers. Xcel Energy Inc. was founded in 1909 and is headquartered in Minneapolis, Minnesota.
CERN	Cerner Corp	10	1	3	clojure.lang.LazySeq@f4027e0a	clojure.lang.LazySeq@f8c1f362	clojure.lang.LazySeq@a7fe427e	Cerner Corporation, together with its subsidiaries, provides health care information technology solutions and tech-enabled services in the United States and internationally. The company offers Cerner Millennium architecture, a person-centric computing framework, which includes clinical, financial, and management information systems that allow providers to access an individual's electronic health record (EHR) at the point of care, and organizes and delivers information for physicians, nurses, laboratory technicians, pharmacists, front- and back-office professionals, and consumers. It also provides HealtheIntent platform, a cloud-based platform to aggregate, transform, and reconcile data across the continuum of care; and CareAware, an EHR agnostic platform that facilitates connectivity of health care devices to EHRs. In addition, the company offers a portfolio of clinical and financial health care information technology solutions, as well as departmental, connectivity, population health, and care coordination solutions. Further, it provides tech-enabled services, such as implementation and training, remote hosting, operational management services, revenue cycle services, support and maintenance, health care data analysis, clinical process optimization, transaction processing, employer health centers, employee wellness programs, and third-party administrator services; and complementary hardware and devices for third parties. The company serves integrated delivery networks, physician groups and networks, managed care organizations, hospitals, medical centers, reference laboratories, home health agencies, blood banks, imaging centers, pharmacies, pharmaceutical manufacturers, employers, governments, and public health organizations. Cerner Corporation was founded in 1979 and is headquartered in North Kansas City, Missouri.
