symbol	company	yayk	nayk	mayk	yay	nay	may	desc
CMP	Compass Minerals Intl Inc	16	1	10	clojure.lang.LazySeq@20f6fcad	clojure.lang.LazySeq@abc58e1b	clojure.lang.LazySeq@45dbc540	Compass Minerals International, Inc., produces and sells salt, and specialty plant nutrition and chemical products primarily in the United States, Canada, Brazil, the United Kingdom, and internationally. It operates through three segments: Salt, Plant Nutrition North America, and Plant Nutrition South America. The Salt segment offers sodium chloride and magnesium chloride, including rock salt, mechanically and solar evaporated salt, and brine and flake magnesium chloride products; and purchases potassium chloride and calcium chloride to sell as finished products or to blend with salt to produce specialty products. This segment provides products for use as a deicer for roadways, consumer, and professional use; as an ingredient in chemical production; for water treatment, human, and animal nutrition; and for various other consumer and industrial uses, as well as records management services. The Plant Nutrition North America segment offers sulfate of potash specialty fertilizers in various grades, including agricultural products used in broadcast spreaders, direct application, and liquid fertilizer solutions; turf products used by the turf and ornamental markets, as well as for blends used on golf course greens; organic products under the Protassium+ brand; and micronutrient products under the Wolf Trax brand, as well as specialty plant nutrition solution-based products and chemical solutions. This segment provides its products to distributors and retailers of crop inputs, as well as growers. The Plant Nutrition South America segment offers various specialty plant nutrients and supplements; water and wastewater treatment chemicals for cleaning, decontaminating, and purifying water; and process chemicals for industrial use. The company was formerly known as Salt Holdings Corporation and changed its name to Compass Minerals International, Inc. in December 2003. Compass Minerals International, Inc. was founded in 1993 and is headquartered in Overland Park, Kansas.
UNFI	United Nat Foods	15	6	2	clojure.lang.LazySeq@3f1678ef	clojure.lang.LazySeq@3bb96cc9	clojure.lang.LazySeq@bf1a5d14	United Natural Foods, Inc., together with its subsidiaries, distributes natural, organic, specialty, produce, and conventional grocery and non-food products in the United States and Canada. It operates in two segments, Wholesale and Retail. The company offers grocery and general merchandise, produce, perishables and frozen foods, nutritional supplements and sports nutrition, bulk and foodservice products, and personal care items. It also distributes and merchandises natural and organic and gourmet ethnic products; conventional and organic produce and other fresh products; and organic fruits, vegetables, juices, milk, eggs, nuts, and coffee. In addition, the company is involved in importing, roasting, packaging, and distributing nuts, dried fruits, seeds, trail mixes, granola, natural and organic snack items, and confections. Further, it offers Blue Marble Brands products through wholesale segment, third-party distributors, and directly to retailers; and Field Day brand products primarily to customers through its independent channel. Additionally, the company provides general merchandise, home, health and beauty care, and pharmacy products, as well as private label products through a network of 71 Cub Foods and Shoppers retail grocery stores; professional services, such as retail store support, advertising, couponing, e-commerce, network and data hosting, and administrative back-office solutions; and marketing services comprising consumer and trade marketing programs, as well as programs to support suppliers in understanding its markets. The company serves chains, independent retailers, and supernatural chains, as well as foodservice, e-commerce, conventional military business, and other sales customers. United Natural Foods, Inc. was founded in 1976 and is headquartered in Providence, Rhode Island.
NGVC	Natural Grocers By Vitamin Cottage Inc	15	7	6	clojure.lang.LazySeq@b69345a5	clojure.lang.LazySeq@40682a13	clojure.lang.LazySeq@62a84fb	Natural Grocers by Vitamin Cottage, Inc., together with its subsidiaries, retails natural and organic groceries, and dietary supplements in the United States. The company's stores offer natural and organic grocery products, such as organic produce; bulk food products; private label products comprising pasta, pasta sauce, ketchup, canned beans and vegetables, frozen vegetables, frozen fruits, bread, plant based butter, olive and coconut oil, coconut milk, honey, maple syrup, preserves, chocolate, coffee, bacon, beef jerky, canned seafood, popcorn, tortilla chips, taco shells, eggs, cheese, apple sauce, apple cider vinegar, spring water, paper products, cleaning products, and other products; dry, frozen, and canned groceries; meat and seafood products; dairy products, dairy substitutes, and eggs; prepared foods; bread and baked products; beverages; and beer, wine, and hard cider products. Its stores also provide private label dietary supplements; body care products consisting of cosmetics, skin care, hair care, fragrance, and personal care products containing natural and organic ingredients; pet care and food products; books and handouts; and household and general merchandise, including cleaning supplies, paper products, and dish and laundry soaps, as well as other common household products, such as diapers. The company operates its retail stores under the Natural Grocers by Vitamin Cottage trademark. As of December 03, 2020, it operated 160 stores in 20 states. The company also offers science-based nutrition education programs to help customers make informed health and nutrition choices. Natural Grocers by Vitamin Cottage, Inc. was founded in 1955 and is headquartered in Lakewood, Colorado.
SJW	SJW Corp	13	1	2	clojure.lang.LazySeq@688cc556	clojure.lang.LazySeq@e09ac80f	clojure.lang.LazySeq@9a746f0c	SJW Group, through its subsidiaries, provides water utility services in the United States. It engages in the production, purchase, storage, purification, distribution, wholesale, and retail sale of water and wastewater services. The company also provides non-tariffed services, including water system operations, maintenance agreements, and antenna site leases; contracted services and sewer operations to water utilities in Connecticut; and a Linebacker, subscription service line protection plan for public drinking water customers, as well as offers repair or replace a leaking or broken water service line, curb box, curb box cover, meter pit, meter pit cover, and meter pit valve. Its water supply consists of groundwater from wells, surface water from watershed run-off and diversion, reclaimed water, and imported water purchased from the Santa Clara Valley Water District. The company offers water service to approximately 231,000 connections that serve approximately one million people residing in portions of the cities of San Jose and Cupertino, as well as in the cities of Campbell, Monte Sereno, Saratoga, and the Town of Los Gatos; and adjacent unincorporated territories in the County of Santa Clara in the State of California. In addition, it provides water service to approximately 18,000 connections, which serve 54,000 people in a service area comprising 246 square miles in the region between San Antonio and Austin, Texas; and 137,000 connections that serve approximately 480,000 people in 80 municipalities in Connecticut and Maine, and approximately 3,000 wastewater connections in Southbury, Connecticut. Further, the company owns undeveloped land in California and Tennessee; and owns and operates commercial buildings and warehouse properties in Tennessee. The company was formerly known as SJW Corp. and changed its name to SJW Group in November 2016. SJW Group was founded in 1866 and is headquartered in San Jose, California.
EXTN	Exterran Corp	13	18	1	clojure.lang.LazySeq@6b491a36	clojure.lang.LazySeq@d19d04d1	clojure.lang.LazySeq@b29732a7	Exterran Corporation, a systems and process company, provides various solutions in the oil, gas, water, and power markets worldwide. The company operates through three segments: Contract Operations, Aftermarket Services, and Product Sales. It offers compression, processing, and treating services through the operation of natural gas compression equipment, and crude oil and natural gas production and process equipment; and water treatment and power solutions. The company also sells parts and components; and provides operation, maintenance, overhaul, upgrade, startup and commissioning, and reconfiguration services. In addition, it designs, engineers, manufactures, sells, and installs natural gas compression packages and equipment, such as wellheads, gatherings, residue and high pressure natural gas compression equipment, cryogenic plants, mechanical refrigeration and dew point control plants, condensate stabilizers, water treatment equipment, integrated power generation, and skid-mounted production packages used in treating and processing of crude oil and natural gas. Further, the company sells custom-engineered and built-to-specification natural gas and oil processing and treating equipment; and skid-mounted natural gas compression equipment and pre-engineered compressor units. It serves integrated and national oil and natural gas companies, national energy companies, and independent oil and natural gas producers, as well as oil and natural gas processors, gatherers, and pipeline operators. Exterran Corporation was founded in 2007 and is headquartered in Houston, Texas.
SRE	Sempra Energy	13	10	4	clojure.lang.LazySeq@fe264a11	clojure.lang.LazySeq@ff30810c	clojure.lang.LazySeq@bbfcd38c	Sempra Energy operates as an energy-services holding company in the United States and internationally. The company's San Diego Gas & Electric Company segment generates, transmits, and distributes electricity; and supplies natural gas. It provides electric services to a population of approximately 3.7 million and natural gas services to approximately 3.4 million of that population covering an area of 4,100 square miles. Its Southern California Gas Company segment owns and operates a natural gas distribution, transmission, and storage system that supplies natural gas to a population of approximately 22 million covering an area of 24,000 square miles. The company's Sempra Texas Utilities segment is involved in the regulated transmission and distribution of electricity serving approximately 3.6 million homes and businesses, and operating approximately 139,000 miles of transmission and distribution lines. Its transmission system included 17,799 circuit miles of transmission lines, 349 transmission stations, and 775 distribution substations; distribution system consisted of 121,747 miles of overhead and underground lines; and approximately 65 miles of electric transmission lines. Its Sempra Mexico segment develops, owns and operates, or holds interests in natural gas, electric, liquefied natural gas (LNG), liquid petroleum gas (LPG), ethane, and liquid fuels infrastructure; and engages in the purchase of LNG, and purchase and sale of natural gas. This segment operates a natural-gas-fired combined-cycle plant, and wind and solar power generation facilities. Its assets/facilities consisted of 1,850 miles of natural gas transmission pipelines, 13 compressor stations, 139 miles of ethane pipelines, 118 miles of LPG pipelines, and one LPG storage terminal. The company's Sempra LNG segment develops and holds interest in export of LNG; and owns, operates, buys, sells, and transports natural gas. The company was founded in 1998 and is headquartered in San Diego, California.
ET	Energy Transfer LP	13	22	7	clojure.lang.LazySeq@aa4afff6	clojure.lang.LazySeq@a826e615	clojure.lang.LazySeq@fecabbbb	Energy Transfer LP provides energy-related services. The company owns and operates approximately 9,400 miles of natural gas transportation pipelines and three natural gas storage facilities in Texas; and 12,500 miles of interstate natural gas pipelines. It sells natural gas to electric utilities, independent power plants, local distribution companies, industrial end-users, and other marketing companies. The company also owns and operates natural gas gathering and natural gas liquid (NGL) pipelines, processing plants, and treating and conditioning facilities in Texas, New Mexico, West Virginia, Pennsylvania, Ohio, Oklahoma, Kansas, and Louisiana; natural gas gathering, oil pipeline, and oil stabilization facilities in South Texas; and a natural gas gathering system in Ohio, as well as transports and supplies water to natural gas producers in Pennsylvania. In addition, it owns approximately 4,515 miles of NGL pipelines; NGL and propane fractionation facilities; NGL storage facilities with working storage capacity of approximately 50 million barrels (MMBbls); and other NGL storage assets and terminals with an aggregate storage capacity of approximately 13 MMBbls. Further, the company sells gasoline, middle distillates, and motor fuel at retail, as well as crude oil, NGLs, and refined products; operates convenience stores; and distributes motor fuels and other petroleum products. Additionally, it provides natural gas compression services; carbon dioxide and hydrogen sulfide removal, natural gas cooling, dehydration, and British thermal unit management services; and manages coal and natural resources properties, as well as sells standing timber, leases coal-related infrastructure facilities, collects oil and gas royalties, and generates electrical power. The company was formerly known as Energy Transfer Equity, L.P. and changed its name to Energy Transfer LP in October 2018. Energy Transfer LP was founded in 2002 and is headquartered in Dallas, Texas.
NJR	Newjersey Resources Corp	12	6	10	clojure.lang.LazySeq@96ed934a	clojure.lang.LazySeq@d82a6801	clojure.lang.LazySeq@d04d6412	New Jersey Resources Corporation, an energy services holding company, provides regulated gas distribution, and retail and wholesale energy services. The company operates through four segments: Natural Gas Distribution, Clean Energy Ventures, Energy Services, and Storage and Transportation. The Natural Gas Distribution segment offers regulated retail natural gas services to approximately 558,000 residential and commercial customers in central and northern New Jersey; provides storage management services; and participates in the off-system sales and capacity release markets. The Clean Energy Ventures segment invests in, owns, and operates commercial and residential solar projects located in New Jersey, Connecticut, and Rhode Island. The Energy Services segment provides unregulated wholesale energy management services to other energy companies and natural gas producers, as well as maintains and transacts a portfolio of physical assets consisting of natural gas storage and transportation contracts in the United States and Canada. The Storage and Transportation segment invests in natural gas transportation and storage facilities. The company offers heating, ventilation, and cooling services; holds commercial real estate properties; and provides solar equipment installation, and plumbing repair and installation services, as well as engages in the water appliance sale, installation, and servicing activities. New Jersey Resources Corporation was incorporated in 1981 and is based in Monmouth, New Jersey.
WTTR	Select Energy Services Inc	12	10	5	clojure.lang.LazySeq@c7f05d6f	clojure.lang.LazySeq@6f9b2255	clojure.lang.LazySeq@2cb6cbe8	Select Energy Services, Inc., an oilfield services company, provides water management and chemical solutions to the onshore oil and natural gas industry in the United States. The company operates through three segments: Water Services, Water Infrastructure, and Oilfield Chemicals. The Water Services segment provides water-related services, including water transfer, flow back and well testing, water containment, fluids hauling, water monitoring, and water network automation; technology solutions comprising hydrographic mapping, water volume and quality monitoring, remote pit and tank monitoring, leak detection, asset and fuel tracking, and automated-equipment services, as well as various on-site rental equipment and workforce accommodation services. The Water Infrastructure segment develops, builds, and operates semi-permanent and permanent infrastructure solutions to support oil and gas well development. The Oilfield Chemicals segment develops, manufactures, and provides a suite of chemicals used in hydraulic fracturing, stimulation, cementing, production, pipelines, and well completions, including polymer slurries, cross linkers, friction reducers, biocides, scale inhibitors, corrosion inhibitors, buffers, breakers, and other chemical technologies to pressure pumping, and integrated and independent oil and gas producers. This segment also offers production chemical solutions for underperforming wells in order to enhance well performance and reduce production costs; and ancillary oilfield services comprising corrosion and scale monitoring, chemical inventory management, well failure analysis, and lab services. Select Energy Services, Inc. was founded in 2016 and is headquartered in Houston, Texas.
CI	Cigna Corp	12	3	0	clojure.lang.LazySeq@cafcc761	clojure.lang.LazySeq@47b5eeb2	clojure.lang.LazySeq@1	Cigna Corporation provides insurance and related products and services. It operates through Health Services, Integrated Medical, International Markets, and Group Disability and Other segments. The Health Services segment provides pharmacy benefits management, specialty pharmacy services, clinical solutions, home delivery, and health management services. The Integrated Medical segment offers medical, pharmacy, dental, behavioral health, vision, health advocacy programs, and other products and services to insured and self-insured clients; Medicare Advantage, Medicare Supplement, and Medicare Part D plans to Medicare-eligible beneficiaries, as well as Medicaid plans; and health insurance coverage to on and off the public exchanges. The International Markets segment offers supplemental health, life, and accident insurance products; and health care coverage, as well as health care benefits to mobile employees of multinational organizations. This segment offers health coverage, hospitalization, dental, critical illness, personal accident, term life, and variable universal life products. The Group Disability and Other segment provides group long-term and short-term disability, group life, accident, voluntary, and specialty insurance products, as well as related services; permanent insurance contracts to corporations to provide coverage on the lives of certain employees for the purpose of financing employer-paid future benefit obligations; and reinsurance, settlement annuity, individual life insurance, and annuity and retirement benefit business. The company distributes its products and services through insurance brokers and consultants; directly to employers, unions and other groups, or individuals; and private and public exchanges. Cigna Corporation has a strategic alliance with Priority Health to make health care coverage accessible to Michigan employers, their employees and families. The company was founded in 1792 and is headquartered in Bloomfield, Connecticut.
