symbol	company	yayk	nayk	mayk	yay	nay	may	desc
BLR.SI	Darco Water Technologies Ltd	15	2	0	clojure.lang.LazySeq@7350e7d6	clojure.lang.LazySeq@97bc1afa	clojure.lang.LazySeq@1	Darco Water Technologies Limited, an investment holding company, designs, builds, operates, and maintains water and wastewater treatment systems. It operates through three segments: Engineered Environmental Systems, Water Management Services, and Trading. The Engineered Environmental Systems segment designs, fabricates, assembles, installs, and commissions engineered water systems for industrial applications. The Water Management Services segment services and maintains water and wastewater treatment plants. The Trading segment trades in and supplies chemicals, electrical controls, and related instruments used in water treatment systems. The company also designs and supplies environmental related equipment, centralized vacuum systems, refuse conveying systems, and other engineering systems; designs, installs, sets up, and maintains industrial waste treatment plant ultra-pure systems; and tests waste water and processed water, as well as renders other related waste treatment plant services. In addition, it provides integrated engineering solutions for water purification, water supply, and wastewater treatment; and related consultancy and industrial services, as well as solid waste disposal treatment and incineration services. Further, the company designs, fabricates, and constructs pure and waste water treatment plants. It serves electronics, petrochemicals, pharmaceuticals, and food and beverage industries in Singapore, Taiwan, Malaysia, the People's Republic of China, Vietnam, and internationally. Darco Water Technologies Limited was founded in 1999 and is headquartered in Singapore.
BHK.SI	Siic Environment Holdings Ltd.	14	2	1	clojure.lang.LazySeq@59af4568	clojure.lang.LazySeq@7c20aaa1	clojure.lang.LazySeq@12b9614b	SIIC Environment Holdings Ltd., an investment holding company, engages in wastewater treatment, water supply, solid waste management, and other environment-related businesses primarily in the People's Republic of China. Its Construction segment is involved in the design, assembly, construction, installation, and commissioning of water supply or waste water treatment systems/plants for industrials and municipals. The company's Water and Sludge Treatment segment engages in the construction, management, and operation of water and sludge related infrastructure under service concession arrangements; and management and operation of water and sludge related infrastructure under non-service concession arrangements, as well as financial income under service concession arrangements. Its Water Supply segment constructs, manages, and operates water supply related infrastructure under service concession arrangements. The company's Waste Incineration segment constructs, manages, and operates waste incineration related infrastructure under service concession arrangements. The company has a portfolio of approximately 200 water treatment and supply projects, 7 waste incineration projects, and 10 sludge disposal projects across 19 municipalities and provinces in China. It also provides management and consultancy, project design and consultancy, and water meters installation services; water pollution treatment services; project development and operation, technical consultation, and technical services of environmental protection and water industry sector; domestic trade broker services; and wastewater treatment and recycling services. The company was formerly known as Asia Water Technology Ltd. and changed its name to SIIC Environment Holdings Ltd. in November 2012. The company was incorporated in 2002 and is headquartered in Singapore. SIIC Environment Holdings Ltd. is a subsidiary of S.I. Infrastructure Holdings Limited.
N2H.SI	Hyflux 6% Cum Pref Class A 10	13	0	3	clojure.lang.LazySeq@ac671f6c	clojure.lang.LazySeq@1	clojure.lang.LazySeq@bc7b75e7	Hyflux Ltd provides various solutions in water and energy areas worldwide. The company operates through two segments, Municipal and Industrial. The Municipal segment supplies a range of infrastructure solutions, including water, power, and waste-to-energy to municipalities and governments. The Industrial segment supplies infrastructure solutions for water to industrial customers. The company provides seawater desalination, raw water purification, wastewater cleaning, water recycling, water reclamation, and pure water production services to municipal and industrial clients, as well as to home consumers; and filtration and purification products. It also designs, constructs, owns, operates, and sells water treatment, seawater desalination, wastewater treatment, and water recycling plants under service concession arrangements; and sells oxygen-rich water and related products and services. In addition, the company designs, constructs, owns, operates, and sells power plants and waste-to-energy plants; trades in the electricity markets; and sells retail electricity contracts. Hyflux Ltd was founded in 1989 and is headquartered in Singapore.
SYM.SI	Memiontec	12	2	2	clojure.lang.LazySeq@bc7aa046	clojure.lang.LazySeq@7841533c	clojure.lang.LazySeq@46c4a86b	Memiontec Holdings Ltd., a water treatment company, provides water and wastewater management services in Singapore, Indonesia, and the People's Republic of China. The company operates through Total Solutions with Engineering, Procurement and Construction (TSEPC); Operation, Maintenance and Service (OMS); Sales and Distribution of Water System and Equipment (Trading); and Others segments. The TSEPC segment engages in the provision of a range of solutions in water treatment, wastewater treatment, water recycling treatment, and sea water treatment and desalination. This segment's customers include public sectors and industrial-related industries, including agro, food and beverage, power, petrochemical, palm oil, chemical, semiconductor, and real estate. The OMS segment offers operational, preventive, and corrective maintenance works, as well as technical support and consultation services for plant maintenance to TSEPC customers with water and wastewater infrastructure. The Trading segment sells and distributes modular and customized water treatment systems, water treatment equipment, components or spare parts, and specialty and/or blended chemicals. The Others segment sells treated water. Memiontec Holdings Ltd. was founded in 1992 and is headquartered in Singapore.
U9E.SI	Hankore Environment Tec Grpltd	12	6	1	clojure.lang.LazySeq@a5decfe1	clojure.lang.LazySeq@293d2d4c	clojure.lang.LazySeq@5ead63b2	China Everbright Water Limited, an investment holding company, provides water environmental management services in Mainland China and Germany. It offers municipal waste water treatment, industrial waste water treatment, water supply, reusable water, sludge harmless treatment, sponge city construction and operation, river-basin ecological restoration, waste water source heat pump, leachate treatment, and engineering construction, as well as researches and develops water environment technologies. The company also provides project investment, planning and design, and operations management services; investment and investment management, business development and management, and pipeline network construction and maintenance services; and survey, mapping, design, and consultancy services for municipal projects. As of December 31, 2019, it invested in and operated water treatment projects with a designed daily waste water treatment capacity of approximately 6.2 m3. The company is based in Shenzhen, the People's Republic of China. China Everbright Water Limited is a subsidiary of China Everbright Water Holdings Limited.
5EW.SI	Pan Asian Holdings Limited	8	4	0	clojure.lang.LazySeq@32caa677	clojure.lang.LazySeq@452bf208	clojure.lang.LazySeq@1	Pan Asian Holdings Limited, together with its subsidiaries, supplies piping systems and related accessories for use in the water, wastewater, environmental, marine, and oil and gas industries. It operates through General Trading, Engineering Solutions, Valves, and Others segments. The General Trading segment engages in the trading of water piping materials and related accessories. The Engineering Solutions segment provides specialized products to water infrastructure projects. The Valves segment offers valves for municipal and industrial applications. The Others segment supplies parts and accessories for oil and gas industry, and other non-water related projects. The company also imports and exports valves, pipes, and water treatment products, as well as teas; supplies marine and offshore products, and windmill and solar-powered water pumping systems; and manufactures and supplies pipes, fittings, valves, and other related accessories. It has operations in Singapore, China, Europe, Hong Kong, and Japan. The company was formerly known as Pan Asian Water Solutions Limited and changed its name to Pan Asian Holdings Limited in April 2011. Pan Asian Holdings Limited was founded in 1979 and is headquartered in Singapore. Pan Asian Holdings Limited is a subsidiary of Xu Jia Zu Holdings Pte. Ltd.
42Z.SI	Eindec Corporation Limited	7	2	2	clojure.lang.LazySeq@229e47c8	clojure.lang.LazySeq@4b3189c8	clojure.lang.LazySeq@7cf0a541	Eindec Corporation Limited, an investment holding company, manufactures and distributes clean air environmental technology solutions for residential, commercial, and industrial customers in Singapore, China, Malaysia, and internationally. The company operates through four segments: Clean Room Equipment, Heating Ventilation and Air-Conditioning Products, Air Purification Equipment, and Others. The Clean Room Equipment segment offers fan filter units, air showers, clean booths, pass boxes, clean hand dryers, clean benches, and others. It also provides value-added design services and customized cleanroom equipment. The Heating Ventilation and Air-Conditioning Products segment provides dampers, deflection grilles, and air diffusers to regulate the airflow within a confined space in commercial, residential, and industrial buildings, as well as in offshore platforms and vessels. The Air Purification Equipment segment designs, manufactures, and sells air purifiers, and fresh air purification and ventilation systems, which remove solid and gaseous pollutants from the air. The Others segment offers cooling towers. The company also provides technology consultation and services; and after-sales services. In addition, it engages in the wholesale of clean room and ventilation equipment; and agency, and import and export of industrial products, as well as in the related supporting business. The company was founded in 1984 and is headquartered in Singapore. Eindec Corporation Limited is a subsidiary of Weiye Holdings Limited.
5OC.SI	Koyo International Limited	7	3	0	clojure.lang.LazySeq@9b7f4f02	clojure.lang.LazySeq@ff43f562	clojure.lang.LazySeq@1	Koyo International Limited, an investment holding company, provides integrated mechanical and electrical engineering services in Singapore. It operates in three divisions: Mechanical Engineering, Electrical Engineering, and Facilities Management. It designs and installs air-conditioning and mechanical ventilation, plumbing and sanitary installation, and fire prevention and protection systems, as well as integrated monitoring and control systems; and high and low tension electrical distribution, communications, audio-visual, and securities systems. The company also offers mechanical and electrical services for industrial, commercial, and residential buildings; provides maintenance, repair, and replacement services for commercial buildings, hotels, schools, and universities; supplies construction materials, including reclamation sand, construction sand, armour rock, granite, and other aggregates; owns mines and concession for raw materials, shipping/chartering services, logistics planning and ancillary support services, such as stevedoring and dredging; designs, integrates, and implements industrial engineering services; and provides oil, gas, and marine engineering services, as well as facilities management services. It focuses on integrating environmental engineering and clean technologies for industries by offering a suite of clean technologies, such as large scale solar heat collector arrays, hot water storage tanks, high-temperature heat pumps, phase change materials, non-chemical water treatment, electrical licensing services, regenerator, conditioner, degassing system, condensate water collection system, and liquid desiccant systems. The company engages in the property development and construction, management, and investment activities; and general trading of products. It serves customers in construction, marine, oil and gas, industrial, and pharmaceutical industries, as well as public sector. The company was founded in 1983 and is headquartered in Singapore.
Y06.SI	Youcan Foods International Ltd	7	2	7	clojure.lang.LazySeq@1dc8ccd6	clojure.lang.LazySeq@7c20aaa1	clojure.lang.LazySeq@30b6ade7	Green Build Technology Limited, an investment holding company, engages in the urban infrastructure construction activities in the People's Republic of China. It operates through Insulation, Underground Utility Tunnel, Project Management, Materials Trading, and Others segments. The company constructs and operates external insulation projects; and underground utility tunnel for utility lines, such as electricity, gas supply pipes, and water supply pipes; and communications lines comprising fiber optics, television, and telephone cables. It also trades in construction materials and green technology materials; offers architectural design and construction services for government projects; and promotes and provides energy conservation services, as well as installs green technology and architecture. In addition, Green Build Technology Limited is involved in conservation and investment in construction business; and construction, operation, and management of projects. The company was formerly known as Youyue International Limited and changed its name to Green Build Technology Limited in October 2014. Green Build Technology Limited was founded in 2004 and is based in Harbin, the People's Republic of China.
5EG.SI	New Lakeside Holdings Limited	6	2	2	clojure.lang.LazySeq@5389afe7	clojure.lang.LazySeq@90b5628	clojure.lang.LazySeq@bb52c600	Zhongxin Fruit and Juice Limited, an investment holding company, produces and sells fruit and vegetable juice concentrates and beverages in the People's Republic of China. It primarily offers concentrated apple juice for exports to multinational F&B corporations in the United States, the European Union, South Africa, Canada, Japan, and Australia. The company was formerly known as New Lakeside Holdings Limited and changed its name to Zhongxin Fruit and Juice Limited in February 2013. The company was incorporated in 2002 and is based in Singapore. Zhongxin Fruit and Juice Limited is a subsidiary of SDIC Zhonglu Fruit Juice Co., Ltd.
