Symbol	Description
1A0.SI	Katrina Group Ltd.
1A1.SI	Wong Fong Industries Limited
1A4.SI	Agv Group Limited
1B0.SI	Mm2 Asia Ltd.
1B1.SI	Hc Surgical Specialistslimited
1B5W.SI	Charisma Energyservicesw211128
1B6.SI	Ocean Sky International Ltd
1C0.SI	Cedar Strategic Holdings Ltd
1C3.SI	Samurai 2k Aerosol Limited
1C4W.SI	Abundance Internationalw210130
1C5.SI	Pacific Star Development Ltd
1D0.SI	Kimly Limited
1D1.SI	Unusual Limited
1D3.SI	Lifebrandz Ltd.
1D4.SI	Aoxin Q & M Dental Grp Limited
1D5.SI	Capital World Limited.
1D8.SI	Singapore O&g Ltd.
1E3.SI	Sanli Environmental Limited
1E6.SI	World Class Global Limited
1E7W.SI	Viking Offshore And Ma W220701
1F0.SI	Shopper360 Limited
1F1.SI	Y Ventures Group Ltd.
1F2.SI	Union Gas Holdings Limited
1F3.SI	Aspen (group) Holdings Limited
1F9W.SI	Koh Brothers Eco Engg W211112
1G1.SI	Re&s Holdings Limited
1G5W.SI	Cwx Global Limited W221213
1G6.SI	No Signboard Holdings Ltd.
1G7W.SI	Amplefield Limited W221218
1H2.SI	Olive Tree Estates Limited
1H3.SI	Clearbridge Health Limited
1H4.SI	Memories Group Limited
1H7W.SI	Asia-pacific Strategic W230130
1H8.SI	Ly Corporation Limited
1I5.SI	Ayondo Ltd.
1IZW.SI	Hsi 28000mbecw201230
1J0.SI	Slb Development Ltd.
1J1W.SI	Pine Capital Group W230506
1J3.SI	Asian Healthcare Specialists
1J4.SI	Jep Holdings Ltd.
1J5.SI	Hyphens Pharma Intl Limited
1J7.SI	Jawala Inc.
1M7W.SI	Alibabambecw210405
3UJS.SI	Ny09100h 240901
40B.SI	Smj International Holdingsltd.
40D.SI	Starburst Holdings Limited
40E.SI	Spackman Entertainment Grp Ltd
40F.SI	Alliance Mineral Assetslimited
40N.SI	Versalink Holdings Limited
40R.SI	Serrano Limited
40T.SI	Isec Healthcare Ltd.
40U.SI	Ms Holdings Limited
40V.SI	Singapore Edevelopment Ltd
40W.SI	Zico Holdings Inc.
41B.SI	Huationg Global Limited
41F.SI	Gss Energy Limited
41H.SI	Blackgold Natural Resourcesltd
41O.SI	Lhn Limited
41S.SI	Magnus Energy Group Ltd.
41T.SI	Gccp Resources Limited
42C.SI	Ix Biopharma Ltd.
42D.SI	Nauticawt Limited
42E.SI	Choo Chiang Holdings Ltd.
42F.SI	Cmc Infocomm Limited
42G.SI	Soo Kee Group Ltd.
42L.SI	Tlv Holdings Limited
42N.SI	Ips Securex Holdings Limited
42QW.SI	Asia-pacific Strategic W201119
42R.SI	Jumbo Group Limited
42S.SI	Astaka Holdings Limited
42T.SI	The Trendlines Group Ltd.
42U.SI	Axcelasia Inc.
42W.SI	China Star Food Group Limited
42Z.SI	Eindec Corporation Limited
43A.SI	Gs Holdings Limited
43B.SI	Secura Group Limited
43E.SI	Anchor Resources Limited
43F.SI	Acromec Limited
43MW.SI	Starburst Holdings Ltd W210614
43P.SI	United Global Limited
43Q.SI	Advancer Global Limited
500.SI	Tai Sin Electric Limited
502.SI	Hsr Global Limited
504.SI	Klw Holdings Ltd
505.SI	Asiamedic Limited
508.SI	Fuji Offset Plates Mfg Ltd
510.SI	Hiap Seng Engineering Ltd
528.SI	Second Chance Properties Ltd
532.SI	DISA
533.SI	Abr Holdings Limited
539.SI	Cph Ltd
540.SI	Tung Lok Restaurants 2000 Ltd
541.SI	Craft Print International Ltd
543.SI	Noel Gifts International Ltd
544.SI	Cse Global Ltd
546.SI	Medtecs International Corp Ltd
554.SI	King Wan Corporation Limited
557.SI	Viking Offshore And Marine Ltd
558.SI	Ums Holdings Limited
561.SI	Teckwah Industrial Corp Ltd
564.SI	Spindex Industries Limited
566.SI	See Hup Seng Limited
567.SI	Colex Holdings Limited
569.SI	Vicplas International Ltd
56OW.SI	Dbs Mb Ecw201231
570.SI	Transit-mixed Concrete Ltd
571.SI	International Press Softcom
573.SI	Challenger Technologies Ltd
575.SI	Asti Holdings Limited
578.SI	Ks Energy Limited
579.SI	Oceanus Group Limited
580.SI	Santak Holdings Limited
581.SI	Ite Electric Co Ltd
583.SI	Progen Holdings Ltd
