symbol	company	yayk	nayk	mayk	yay	nay	may	desc
SOY.TO	Sunopta Inc	18	3	7	clojure.lang.LazySeq@a06f098c	clojure.lang.LazySeq@683aff1	clojure.lang.LazySeq@dafc5d3d	SunOpta Inc. manufactures and sells plant-based and fruit-based food and beverage products to retail customers, foodservice distributors, branded food companies, and food manufacturers; and sources and produces organic and non-genetically modified (non-GMO) ingredients for food industry worldwide. The company operates through three segments: Global Ingredients, Plant-Based Foods and Beverages, and Fruit-Based Foods and Beverages. The Global Ingredients segment offers organic and non-GMO ingredients that includes fruits, vegetables, oils, fats, coffee, nuts, dried fruits, sugars, liquid sweeteners, seeds, grains, rice, and pulses. This segment also processes value-added ingredients, such as cocoa liquor, butter and powder, sunflower kernel, oil and cakes, sesame seeds, and avocado oil; and produces consumer-packaged juice products, including private label orange juices, lemonades, and functional waters through third-party manufacturers. The Plant-Based Foods and Beverages segment provides plant-based beverages, and liquid and dry ingredients that utilizes almond, soy, coconut, oat, hemp, and other bases, as well as broths, teas, and nutritional beverages. This segment also packages dry- and oil-roasted in-shell sunflower and sunflower kernels, as well as corn-, soy-, and legume-based roasted snacks; and processes and sells raw sunflower inshell and kernel for food and feed applications. The Fruit-Based Foods and Beverages segment offers individually quick frozen (IQF) fruits, such as strawberries, blueberries, mangos, pineapples, blends, and other berries for retail; and IQF and bulk frozen fruits, including pur̩es, fruit cups, and smoothies for foodservice, and custom fruit preparations for industrial use. This segment also provides fruit snacks comprising bars, twists, ropes, and bite-sized products. The company was formerly known as Stake Technology Ltd. and changed its name to SunOpta Inc. in October 2003. SunOpta Inc. was founded in 1973 and is headquartered in Mississauga, Canada.
INE.TO	Innergex Renewable Energy Inc	14	0	3	clojure.lang.LazySeq@ed9734a2	clojure.lang.LazySeq@1	clojure.lang.LazySeq@f7d17efe	Innergex Renewable Energy Inc. operates as an independent renewable power producer in Canada, the United States, France, and Chile. It acquires, owns, develops, and operates hydroelectric facilities, wind farms, and solar farms. The company operates through three segments: Hydroelectric Generation, Wind Power Generation, and Solar Power Generation. As of May 14, 2020, it had interests in 69 operating facilities with a net installed capacity of 2,656 megawatt (MW), including 37 hydroelectric facilities, 26 wind farms, and six solar farms, as well as six development projects with net installed capacity of 295 MW and prospective projects with gross installed capacity of 7,131 MW. Innergex Renewable Energy Inc. was founded in 1990 and is headquartered in Longueuil, Canada.
JWEL.TO	Jamieson Wellness Inc	12	0	0	clojure.lang.LazySeq@3051e0fd	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Jamieson Wellness Inc. develops, manufactures, distributes, sells, and markets natural health products in Canada and internationally. The company operates in two segments, Jamieson Brands and Strategic Partners. The Jamieson Brands segment offers health products for humans, including vitamins, herbals, and mineral nutritional supplements; and over-the-counter remedies under the Jamieson and Lorna Vanderhaeghe Health Solutions Inc. brands, as well as sports nutrition products under the Progressive, Precision, and Iron Vegan brands. The Strategic Partners segment provides manufacturing and product development services on a contract manufacturing basis to blue-chip consumer health companies and retailers. Jamieson Wellness Inc. sells its products to distributor, retail, and wholesale customers. The company was formerly known as Jamieson Intermediate Holdings Ltd. and changed its name to Jamieson Wellness Inc. in May 2017. Jamieson Wellness Inc. was founded in 1922 and is headquartered in Toronto, Canada.
WCN.TO	Waste Connections Inc	12	7	1	clojure.lang.LazySeq@d826c3ff	clojure.lang.LazySeq@9baca1c5	clojure.lang.LazySeq@86da3fbe	Waste Connections, Inc. provides waste collection, transfer, disposal, and recycling services in the United States and Canada. The company operates through six segments: Southern, Western, Eastern, Canada, Central, and Exploration and Production (E&P). It offers collection services to residential, commercial, municipal, industrial, and E&P customers; landfill disposal services; and recycling services for various recyclable materials, including compost, cardboard, mixed paper, plastic containers, glass bottles, and ferrous and aluminum metals. The company also owns and operates transfer stations that receive compact and/or load waste to be transported to landfills or treatment facilities through truck, rail, or barge; and intermodal services for the rail haul movement of cargo and solid waste containers in the Pacific Northwest through a network of intermodal facilities. In addition, it provides E&P waste treatment, recovery, and disposal services for waste resulting from oil and natural gas exploration and production activity, such as drilling fluids, drill cuttings, completion fluids, and flowback water; production wastes and produced water during a well's operating life; contaminated soils that require treatment during site reclamation; and substances, which require clean-up after a spill, reserve pit clean-up, or pipeline rupture. Further, the company offers container and chassis sales and leasing services to its customers. As of December 31, 2019, it owned or operated a network of 300 solid waste collection operations; 124 transfer stations; 60 municipal solid waste (MSW) landfills; 12 E&P waste landfills; 14 non-MSW landfills; 66 recycling operations; 4 intermodal operations; 23 E&P liquid waste injection wells; and 19 E&P waste treatment and oil recovery facilities. It also operated an additional 51 transfer stations, 10 MSW landfills, and 2 intermodal operations. Waste Connections, Inc. was founded in 1997 and is based in Vaughan, Canada.
ALA.TO	Altagas Ltd	11	10	9	clojure.lang.LazySeq@806a90e0	clojure.lang.LazySeq@d14678c1	clojure.lang.LazySeq@8a299f07	AltaGas Ltd. operates as a diversified energy infrastructure company in North America. The company operates through three segments: Utilities, Midstream, and Power. The Utilities segment owns and operates regulated natural gas distribution utilities in Michigan, Alaska, the District of Columbia, Maryland, and Virginia; and two regulated natural gas storage utilities in the United States serving approximately 1.7 million customers. This segment also provides interstate natural gas transportation and storage services. It serves homes and businesses. The Midstream segment engages in the natural gas gathering and processing; natural gas liquids (NGL) extraction and fractionation, transmission, and storage; natural gas and NGL marketing; and gas retail marketing activities. This segment owns approximately 1.4 billion cubic feet per day (Bcf/d) of natural gas extraction processing capacity and holds interests in regulated pipelines in the Marcellus/Utica gas formation in the northeastern United States. It serves residential, commercial, and industrial customers primarily in the Western Canada Sedimentary Basin. The Power segment is involved in the generation and sale of electricity; and provision of energy storage and retail power marketing, and ancillary services in Alberta, California, and Colorado. It has 710 megawatt of operational gross capacity from natural gas-fired, biomass, solar, and distributed energy. This segment serves residential, commercial, and industrial users. AltaGas Ltd. was founded in 1994 and is headquartered in Calgary, Canada.
FTS.TO	Fortis Inc	11	3	2	clojure.lang.LazySeq@b59a4fa5	clojure.lang.LazySeq@168e2681	clojure.lang.LazySeq@db47f7a1	Fortis Inc. operates as an electric and gas utility company in Canada, the United States, and the Caribbean countries. It generates, transmits, and distributes electricity to approximately 429,000 retail customers in southeastern Arizona; and 97,000 retail customers in Arizona's Mohave and Santa Cruz counties with an aggregate capacity of 3,143 megawatts (MW), including 59 MW of solar capacity. The company also sells wholesale electricity to other entities in the western United States; owns gas-fired and hydroelectric generating capacity totaling 65 MW; and distributes natural gas to approximately 1,041,000 residential, commercial and industrial and transportation customers in British Columbia, Canada. In addition, it owns and operates the electricity distribution system that serves approximately 568,000 customers in southern and central Alberta; owns 4 hydroelectric generating facilities with a combined capacity of 225 MW; and provides operation, maintenance, and management services to five hydroelectric generating facilities. Further, the company distributes electricity in the island portion of Newfoundland and Labrador with an installed generating capacity of 143 MW; and on Prince Edward Island with a generating capacity of 140 MW. Additionally, it provides integrated electric utility service to approximately 66,000 customers in Ontario; approximately 269,000 customers in Newfoundland and Labrador; approximately 31,000 customers on Grand Cayman, Cayman Islands; and approximately 15,000 customers on certain islands in Turks and Caicos. The company also holds long-term contracted generation assets in Belize consisting of 3 hydroelectric generating facilities with a combined capacity of 51 MW; and the Aitken Creek natural gas storage facility. It also owns and operates approximately 91,000 circuit Kilometers (km) of distribution lines; and approximately 49,500 km of natural gas pipelines. Fortis Inc. was founded in 1885 and is headquartered in St. John's, Canada.
MSI.TO	Morneau Shepell Inc	11	0	2	clojure.lang.LazySeq@9ca8a5c4	clojure.lang.LazySeq@1	clojure.lang.LazySeq@67e35fd4	Morneau Shepell Inc. operates as a human resources (HR) consulting and technology company in Canada, the United States, and internationally. The company provides health and productivity, administrative, and retirement solutions to assist employers in managing the financial security, health, and productivity of their employees. It offers health and productivity services, including absence and disability management, Internet-based cognitive behavioral therapy, safety groups, health and benefits consulting, and workers' compensation services; and administrative solutions, such as defined benefit and contribution pension administration, employee self-service, health and benefits administration, and human resources contact centers, as well as pension and benefits software. The company also provides modern employee assistance, wellness, news feed and recognition, perks and savings, workplace learning, total health index assessment, workplace mental health, children's support, traumatic event support, targeted health program, domestic and international student support, and HR support solutions. In addition, it offers retirement solutions comprising actuarial; compensation consulting; defined contribution consulting; international pension regulatory; investment consulting; governance, legal, and compliance; pension sustainability and design; pension regulatory; pooled registered pension plans and voluntary retirement savings plans; and retirement planning and total plan solutions. Further, the company provides asset and risk management, and communication and change management solutions. Additionally, it develops and implements customized investment strategies for pension funds, high-net-worth individuals, endowments, and others. It serves corporations, not-for-profit organizations and government organizations and institutions. The company was formerly known as Morneau Sobeco Income Fund and changed its name to Morneau Shepell Inc. in January 2011. Morneau Shepell Inc. was founded in 1962 and is headquartered in Toronto, Canada.
CNQ.TO	CDN Natural Res	11	16	0	clojure.lang.LazySeq@1288f54b	clojure.lang.LazySeq@e11c9fc7	clojure.lang.LazySeq@1	Canadian Natural Resources Limited explores for, develops, produces, and markets crude oil, natural gas, and natural gas liquids (NGLs). The company offers synthetic crude oil (SCO), light and medium crude oil, bitumen (thermal oil), primary heavy crude oil, and Pelican Lake heavy crude oil. Its midstream assets include two crude oil pipeline systems; and a 50% working interest in an 84-megawatt cogeneration plant at Primrose. As of December 31, 2019, the company had gross proved crude oil, bitumen, SCO, and NGLs reserves totaled 9,917 million barrels; gross proved plus probable crude oil, bitumen, SCO, and NGLs reserves totaled 12,651 million barrels; proved natural gas reserves totaled 6,460 billion cubic feet; and gross proved plus probable natural gas reserves totaled 9,607 billion cubic feet. It operates primarily in Western Canada; the United Kingdom portion of the North Sea; and Offshore Africa. The company was formerly known as AEX Minerals Corporation and changed its name to Canadian Natural Resources Limited in December 1975. Canadian Natural Resources Limited was incorporated in 1973 and is headquartered in Calgary, Canada.
SWP.TO	Swiss Water Decaffeinated Coffee Inc	11	0	15	clojure.lang.LazySeq@26faa22	clojure.lang.LazySeq@1	clojure.lang.LazySeq@eaef8ba3	Swiss Water Decaffeinated Coffee Inc. operates as a green coffee decaffeinator in Canada, the United States, and internationally. It decaffeinates and sells green coffees to specialty roaster retailers, specialty coffee importers, and commercial coffee roasters, as well as sells coffees through regional distributors. The company uses the Swiss Water process to decaffeinate green coffee without the use of chemicals. It also provides a range of green coffee handling and storage services, including devanning coffee received from origin; inspecting, weighing, and sampling coffees; and storing, handling, and preparing green coffee for outbound shipments. The company was formerly known as Ten Peaks Coffee Company Inc. and changed its name to Swiss Water Decaffeinated Coffee Inc. in September 2018. Swiss Water Decaffeinated Coffee Inc. is headquartered in Burnaby, Canada.
TGOD.TO	The Green Organic Dutchman Holdings Ltd	11	1	0	clojure.lang.LazySeq@36213275	clojure.lang.LazySeq@1adf1	clojure.lang.LazySeq@1	The Green Organic Dutchman Holdings Ltd., through its subsidiaries, produces and sells organic cannabis for health and wellness markets in Canada. It offers organic cannabis products, such as cannabis plants, cannabis plant seeds, dried cannabis, fresh cannabis, cannabis oils, cannabis topicals, cannabis extracts, and edible cannabis to retailers or distributors, and federal licensed entities. The company also distributes hemp CBD oil and CBD-infused topicals in Europe, as well as operates cannabis retail store. The Green Organic Dutchman Holdings Ltd. was incorporated in 2016 and is headquartered in Mississauga, Canada.
