symbol	company	yayk	nayk	mayk	yay	nay	may	desc
BLM.V	Blumetric Environmental Inc	13	0	2	clojure.lang.LazySeq@cc182e4f	clojure.lang.LazySeq@1	clojure.lang.LazySeq@604a9a89	BluMetric Environmental Inc. provides solution-oriented consultation, design, products, and construction services to clients with environmental issues in Canada and internationally. The company offers professional services in the fields of environmental geosciences and engineering, industrial hygiene, occupational health and safety, renewable energy, water and waste water treatment, and environmental contracting and management. Its professional services include environmental permitting and compliance, environmental reporting, environmental site assessments, geomatics and data management, industrial hygiene, management systems, physical hydrogeology and clean water, property assessments and environmental due diligence, waste management, and waterpower and hydraulic structures, as well as occupational health, and safety and ergonomics. The company also provides SROD - shipboard reverse osmosis desalinator systems; and ROWPU- reverse osmosis water purification units that produce drinking water from nearly water source. The company serves commercial and industrial customers, military, mining, and governments. BluMetric Environmental Inc. is headquartered in Ottawa, Canada.
HEO.V	H2O Innovation Inc	13	0	3	clojure.lang.LazySeq@fe45972f	clojure.lang.LazySeq@1	clojure.lang.LazySeq@bd0b87eb	H2O Innovation Inc. provides integrated water treatment solutions based on membrane filtration technology. The company operates through three segments: Water Technologies and Services, Specialty Products, and Operation and Maintenance Services. It offers systems and equipment for the production of drinking and industrial process water, reclamation and reuse of water, and desalination of seawater and treatment of wastewater; and provides products and membrane filtration systems' spare parts, such as pumps, valves, membranes, filters, media, and other replacement parts. The company also offers Spectraguard, a membrane pretreatment chemical; OptiClean, a membrane cleaners; and coagulants and flocculants, and membrane preservatives under the PWT brand. In addition, it provides specialty reverse osmosis (RO) membrane chemicals, such as antiscalants, cleaners, flocculants, biocides, and others; laboratory services, including feed water and pretreatment tests, membrane autopsies, and cleaning programs; a line of couplings and fittings; cartridge filter housings, bag filters, strainers, and cartridge filter elements; and maple syrup products and equipment, such as evaporators, RO separators, monitoring solutions, membranes, fittings, tubing, tanks, press filters, and other products. Further, the company offers operation and maintenance services; public works services, including street and drainage maintenance, and solid waste collection; and construction services for water lines, sewer lines, and fire hydrants, as well as leases containerized water or wastewater treatment systems, and pilot units. Additionally, it provides Intelogx, a data analysis and interpretation software solution for monitoring water treatment plant; Clearlogx technology, a patented automation and control technology; and onsite and technical support services. The company also offers water and waste water projects and services. The company was founded in 2000 and is headquartered in Quebec City, Canada.
WATR.V	Current Water Technologies Inc	13	1	5	clojure.lang.LazySeq@3af79a76	clojure.lang.LazySeq@e09ac80f	clojure.lang.LazySeq@c46f5cbe	Current Water Technologies Inc. develops environmental technologies in Canada, Europe, Asia, and the United States. The company provides patented and proprietary technologies for the treatment of waste water and drinking water that are contaminated by metals or nutrients, such as arsenic and nitrate/ammonia associated with the mining, metal processing, chemical, agricultural, municipal, and waste management sectors; and for the recovery of nickel and other valuable metals from waste mill sulphide tailings associated with the mining sector. Its technologies comprise electro-static deionization, a electrochemical process that lowers the concentration of total dissolved solids in water; ammonia removal technology, a technology used for the removal of dissolved ammonia from industrial and municipal water, including wastewater, storm water, sewage effluent, and mine waste water; NitrEL system, an electrochemical water treatment process that reduces nitrate concentrations in contaminated drinking water, groundwater, and industrial process wastewater streams; AmdEl an electrochemical system that prevents the oxidation of sulphide minerals in tailings or waste rock; and ExtrEL for the recovery of metals from sulphide tailings and ore. The company was formerly known as ENPAR Technologies Inc. and changed its name to Current Water Technologies Inc. in January 2018. Current Water Technologies Inc. was incorporated in 1996 and is headquartered in Guelph, Canada.
CLI.V	Clearford Water Systems Inc	13	0	2	clojure.lang.LazySeq@4451ca96	clojure.lang.LazySeq@1	clojure.lang.LazySeq@67e35fd4	Clearford Water Systems Inc., a water management company, provides unified water infrastructure solutions in Canada, the United States, India, and internationally. It operates in three segments: Waterworks, Water & Wastewater Infrastructure Delivery, and UV disinfection. The company offers Clearford One, a wastewater solution for the collection, conveyance and treatment of sewag; ClearDigest, an underground tanks that receive raw sewage from each connected source; ClearConvey, a network of small bore sewer pipes that carries liquids without any infiltration to an optimized facility for final treatment; and ClearRecover, a treatment facility. It also provides Clearford M-brane, a lifecycle solution for managed and decentralized water treatment; Clearford UV, which offers potable, wastewater, reuse, and rainwater disinfection systems; and Clearford Pay-for-Performance project financing program solutions. In addition, the company designs, manufactures, and sells ultraviolet purification systems using its patented Crossfire technology into the potable water, wastewater, reuse, and rainwater harvesting markets. Further, it provides water supply and wastewater treatment systems for small communities, as well as manufactures and supplies packaged treatment solutions, including containerized membrane plants for advanced water treatment. The company was formerly known as Clearford Industries Inc. and changed its name to Clearford Water Systems Inc. in June 2014. Clearford Water Systems Inc. is headquartered in Ottawa, Canada.
NSP.V	Naturally Splendid Enterprises Ltd	11	2	2	clojure.lang.LazySeq@136da4c3	clojure.lang.LazySeq@172a40f7	clojure.lang.LazySeq@344be0b5	Naturally Splendid Enterprises Ltd., a biotechnology and consumer products company, develops, produces, commercializes, sells, and licenses plant-derived, bio-active ingredients, nutrient dense foods, and related products in Canada, Japan, South Korea, Thailand, and Western Europe. The company offers nutrition for athletes under the Natera Sport brand; food energy bars under the WOODS WILD BAR; healthy snack bars under the ELEVATE ME brand; hemp for health under the CHII brand; products for dogs under the PawsitiveFX brand; and hemp and plant-based natural health products under the Natera FX brand. It also provides hemp processing, manufacturing, private label, and CBD extraction services; and distributes lifestyle and healthy meal replacement products. The company sells food and ingredients to commercial processors and consumers through grocery stores, health and nutrition stores, and online. Naturally Splendid Enterprises Ltd. was incorporated in 2010 and is headquartered in Pitt Meadows, Canada.
NHP.V	Lumiera Health Inc	11	0	2	clojure.lang.LazySeq@2f4e8aef	clojure.lang.LazySeq@1	clojure.lang.LazySeq@837c6012	Lumiera Health Inc. develops and commercializes evidence-based botanical products for the healthcare, bio-agriculture, and organic markets in Canada. It is developing botanical based specialty fertilizers for enhancing plant growth and crop yield; botanical agents to prevent and treat fungal infections of plants; oral and topical botanical agents to manage unmet medical needs, such as fungal infections of nails and skin, women's health, dermatology, and sleep; natural bio stimulants, bio fertilizers, and bio pesticides; specialty fertilizers for use in household plants, lawns and golf courses, urban gardens, nurseries, commercial greenhouses, and indoor cannabis growers; and products for acne and wound healing. The company was formerly known as Mondias Natural Products Inc. and changed its name to Lumiera Health Inc. in November 2020. Lumiera Health Inc. is based in Montreal, Canada.
EAC.V	Earth Alive Clean Technologies Inc	10	2	6	clojure.lang.LazySeq@9b65ff14	clojure.lang.LazySeq@786093c2	clojure.lang.LazySeq@d7c109f3	Earth Alive Clean Technologies Inc. develops, manufactures, and sells microbial technology-based products in Canada, the United States, Central and South America, Europe, Africa, and China. The company operates through two segments, Agriculture and Infrastructure & Maintenance. The Agriculture segment offers Soil Activator, an organic non-crop specific bio fertilizer; Dr. Marijane, an organic root probiotic for cannabis plants; ALGA liquid seaweed and Mineralized Seaweed, which are used for plants growing in salty water; Gro4 Earthworm Castings and CowPots for organic agriculture; Big Blue FISH Hydrolysate, a food source for probiotics and mycorrhizae; and Big Blue WAVE Sea Minerals, an ionic sea mineral solution. The Infrastructure & Maintenance segment provides EA1, an organic and biodegradable product to control dust; and RapidAll, an organic and biodegradable industrial cleaner. It serves agricultural and mining industries. The company is headquartered in Lasalle, Canada.
NKW.V	Oceanic Wind Energy Inc.	9	1	6	clojure.lang.LazySeq@dd9b9686	clojure.lang.LazySeq@d2f1e47d	clojure.lang.LazySeq@3399fe41	Oceanic Wind Energy Inc. develops renewable energy projects in Canada. It is developing NaiKun wind project, an offshore wind energy project located in the Hecate Strait off the north coast of British Columbia. The company was formerly known as Naikun Wind Energy Group Inc. and changed its name to Oceanic Wind Energy Inc. in May 2020. Oceanic Wind Energy Inc. is based in Vancouver, Canada.
BQE.V	Bqe Water Inc	9	3	8	clojure.lang.LazySeq@c476524a	clojure.lang.LazySeq@762f5b66	clojure.lang.LazySeq@aacfa094	BQE Water Inc., a water treatment company, provides wastewater treatment services to the mining and metallurgical industry in Canada, the United States, Mexico, Chile, China, and internationally. It offers water treatment solutions for mine drainage, run-off, waste rock seepage, tailings water, groundwater, and lime plant influent and/or effluent streams for treating metals, sulphate, selenium, nitrate, ammonia, and cyanide in the mining sector; smelting and refining services for treating metals and sulphate; and hydrometallurgy services for the treatment of metals, cyanide, and acids. The company's metal recovery and removal technologies include BioSulphide and ChemSulphide technologies, which use biological or chemical sources of sulphide to precipitate dissolved metals from mining wastewater; and Met-IX technology that treats wastewater. It also offers sulphate technologies, such as Sulf-IX and Sulf-IXC, which removes sulphate and hardness from wastewater; selenium removal technology, including Selen-IX that removes selenium from mining wastewater; and cyanide treatment technologies, such as SART, a process technology to remove the metallurgical interference of cyanide-soluble metals in gold cyanidation. The company was formerly known as BioteQ Environmental Technologies Inc. and changed its name to BQE Water Inc. in March 2017. BQE Water Inc. was founded in 1997 and is headquartered in Vancouver, Canada.
CKK.V	Cordy Oilfield Services Inc	8	11	1	clojure.lang.LazySeq@ffb0d1ba	clojure.lang.LazySeq@34aef2fe	clojure.lang.LazySeq@b29732a7	Cordy Oilfield Services Inc. provides energy, municipal, and construction services in Canada. The company operates in two segments, Environmental Services and Heavy Construction. The Environmental Services segment provides clean-up, hazardous goods transportation, and containment services to the oil and natural gas industry, as well as to industrial and commercial customers. It offers various services, including general water and vacuum truck; confined-space entry; dangerous goods and general transportation; high-pressure and steam cleaning; septic and holding tank cleaning; hydro-excavation; liquids and solids spill response; and 24-hour emergency response coverage services. The Heavy Construction segment offers pipeline integrity management; clean-up; low-pressure gas tie-ins; insulated pipeline, cement-lined pipeline, and fiberglass pipeline installation; water injection lines; compressors, line heaters, separator buildings, and header systems construction and installation; pipeline maintenance and repair; wellheads tying-in; and old well sites decommissioning services, as well as transports facility components to production sites. This segment serves oil and gas production companies, private developers, municipal towns and cities, public infrastructures, and mines. Cordy Oilfield Services Inc. was incorporated in 1998 and is headquartered in Calgary, Canada.
