Symbol	Description
A.V	Armor Minerals Inc
AAG.V	Aftermath Silver Ltd
AAJC.P.V	Aaj Capital 2 Corp
AAN.V	Aton Resources Inc
AAP.H.V	Alpha Peak Leisure Inc
AAT.V	Ati Airtest Technologies Inc
AAX.V	Advance Gold Corp
AAZ.V	Azincourt Energy Corp
AB.H.V	Asbestos Corporation Limited
ABI.V	Abcourt Mines Inc
ABN.V	Aben Resources Ltd
ABR.V	Arbor Metals Corp
ABRA.V	Abraplata Resource Corp
ABZ.V	Asiabasemetals Inc
ACE.H.V	Ace Aviation Holdings Inc
ACP.V	Arcpacific Resources Corp
ACS.V	Archon Minerals Limited
ACST.V	Acasti Pharma Inc
ACU.V	Aurora Solar Technologies Inc
ADCO.V	Adcore Inc
ADD.V	Arctic Star Exploration Corp
ADE.V	Adex Mining Inc
ADG.V	Arcus Development Group Inc
ADK.V	Diagnos Inc
ADYA.V	Adya Inc
ADZ.V	Adamera Minerals Corp
ADZN.V	Adventus Mining Corp
AEC.V	Anfield Energy Inc
AEP.V	Atlas Engineered Products Ltd
AEX.V	Aex Gold Inc
AFCC.V	Automotive Finco Corp
AFE.V	Africa Energy Corp
AFF.V	Affinity Metals Corp
AFM.V	Alphamin Resources Corp
AGC.V	Amarillo Gold Corp
AGD.V	Antioquia Gold Inc
AGG.V	African Gold Group Inc
AGH.H.V	Canadian Silver Hunter Inc
AGL.V	Aguila American Gold Ltd
AGLD.V	Austral Gold Limited
AGO.V	Aurcrest Gold Inc
AHE.H.V	American Helium Inc
AHP.V	Allied Hotel Properties Inc
AHR.V	Amarc Resources Ltd
AHU.V	Arctic Hunter Energy Inc
AIR.V	Clean Air Metals Inc
AIS.V	Ais Resources Limited
AKH.H.V	Alaska Hydro Corporation
AKR.V	Ackroo Inc
AL.V	Alx Resources Corp.
ALCC.P.V	A Labs Capital IV Corp
ALDE.V	Aldebaran Resources Inc
ALLI.V	Alpha Lithium Corp
ALM.V	Alliance Mining Corp
ALT.V	Alturas Minerals Corp
ALTA.V	Altamira Gold Corp
ALTS.V	Altus Strategies Plc
ALV.V	Alvopetro Energy Ltd
ALY.V	Analytixinsight Inc
AM.V	Academy Metals Inc
AMC.V	Arizona Metals Corp
AME.V	Abacus Mining and Exploration
AMI.V	Athabasca Minerals Inc
AMK.V	American Creek Resources Ltd
AMO.V	Altan Rio Minerals Limited
AMR.V	Am Resources Corp
AMV.V	Amv Capital Corporation
AMX.V	AMEX Exploration Inc
AMY.V	American Manganese Inc
AMZ.V	Azucar Minerals Ltd
AN.V	Arena Minerals Inc
ANE.V	Altan Nevada Minerals Limited
ANG.V	Angel Gold Corp
ANK.V	Angkor Resources Corp
ANL.H.V	Atlantic Industrial Minerals Inc
ANTL.V	Antler Gold Inc
ANZ.V	Alianza Minerals Ltd
AORO.V	Aloro Mining Corp
APC.V	Advanced Proteome Therapeutics Corp
APGO.V	Apollo Gold Corp.
APL.V	Appulse Corp
APN.V	Altiplano Minerals Ltd
AQS.V	Aequus Pharmaceuticals Inc
AQS.DB.V	Aequus Pharmaceuticals Inc 9.5 Pct Debs
AQS.WT.V	Aequus Pharmaceuticals Inc WT
AQUA.V	Aquarius Ai Inc.
ARCH.V	Arch Biopartners Inc
ARD.V	Armada Data Corp
ARH.V	Altima Resources Ltd
ARIC.V	Awale Resources Ltd
ARJN.V	Aranjin Resources Ltd.
ARS.V	Ares Strategic Mining Inc
ART.V	Arht Media Inc
ARTG.V	Artemis Gold Inc
ARU.V	Aurania Resources Ltd
ARU.WT.V	Aurania Resources Ltd Wts
ASG.V	Aurora Spine Corp
ASI.V	Ashanti Sankofa Inc
ASL.V	Argentum Silver Corp
AST.V	Astron Connect Inc
ATC.V	Atac Resources Ltd
ATI.V	Altai Resources Inc
ATU.V	Altura Energy Inc
ATW.V	Atw Tech Inc
ATX.V	Atex Resources Inc
ATY.V	Atico Mining Corp
AU.V	Aurion Resources Ltd
AUAU.V	Allegiant Gold Ltd
AUEN.V	Golden Sky Minerals Corp.
AUL.V	Aurelius Minerals Inc
AUMB.V	1911 Gold Corp
AUN.V	Aurcana Silver Corp.
AUQ.V	Auq Gold Mining Inc
AUR.H.V	Aurora Royalties Inc
AUS.H.V	Austpro Energy Corp
AUU.V	Gold79 Mines Ltd.
AUX.V	Aux Resources Corp.
AVCR.V	Avricore Health Inc
AVG.V	Avidian Gold Corp
AVN.V	Avanti Energy Inc
AVU.V	Avrupa Minerals Ltd
AVX.V	Altair Resources Inc
AWE.V	Thunderstruck Resources Ltd
AWI.V	Advent Awi Holdings Inc
AWX.V	Arcwest Exploration Inc
AXE.V	Acceleware Ltd
AXIS.V	Axis Auto Finance Inc
AXL.V	Arrow Exploration Corp
AXM.V	Axmin Inc
AZ.V	A2Z Smart Technologies Corp.
AZM.V	Azimut Exploration Inc
AZR.V	Azarga Metals Corp
AZS.V	Arizona Silver Exploration Inc
AZT.V	Aztec Minerals Corp
B.V	Bcm Resources Corp
BABY.V	Else Nutrition Holdings Inc
BABY.WT.V	Else Nutrition Holdings Inc Wts
BAG.V	Blende Silver Corp
BAL.H.V	Balto Resources Ltd
BARU.V	Baru Gold Corp
BAT.V	Batero Gold Corp
BAU.V	Blue Star Gold Corp
BAV.H.V	Bravern Ventures Ltd
BAY.V	Aston Bay Holdings Ltd
BBB.V	Brixton Metals Corp
BCF.V	Builders Capital Mortgage Corp
BCK.V	Blind Creek Resources Ltd
BCM.V	Bear Creek Mining Corp
BCT.V	Briacell Therapeutics Corp
BCU.V	Bell Copper Corporation
BDGC.V	Boundary Gold and Copper Mining Ltd.
BEA.V	Belmont Resources Inc
BEER.V	Hill Street Beverage Company Inc
BEN.H.V	Butte Energy Inc
BES.V	Braille Energy Systems Inc
BEW.V	Bewhere Holdings Inc
BEX.V	Benton Resources Inc
BGA.V	Bioneutra Global Corp
BGD.H.V	Bullion Gold Resources Corp
BGF.V	Beauce Gold Fields Inc
BGS.V	Baroyeca Gold and Silver Inc
BHR.V	Blackheath Resources Inc
BHS.V	Bayhorse Silver Inc
BHT.V	Braveheart Resources Inc
BITF.V	Bitfarms Ltd
BITK.V	Blockchaink2 Corp
BKM.V	Pacific Booker Minerals Inc
BKMT.V	Blockmint Technologies Inc
BLM.V	Blumetric Environmental Inc
BLN.V	Blackline Safety Corp
BLUE.V	Blue Thunder Mining Inc
BM.H.V	Bc Moly Ltd
BME.V	Barsele Minerals Corp
BMET.V	Bemetals Corp
BMEX.V	Bmex Gold Inc.
BMG.V	Black Mountain Gold USA Corp
BMK.V	Macdonald Mines Expl Ltd
BMM.V	Black Mammoth Metals Corp
BMV.H.V	Bathurst Metals Corp
BNCH.V	Benchmark Metals Inc
