symbol	company	yayk	nayk	mayk	wyay	wnay	wmay	desc
BIOX	Bioceres Crop Solutions Corp	16	0	4	#{"Crop" "crop" "United Kingdom" "Canada" "seed" "Seed" "Nutrition"}	#{}	#{"technology" "Brazil" "United States"}	Bioceres Crop Solutions Corp., together with its subsidiaries, provides crop productivity solutions. The company operates through three segments: Seed and Integrated Products, Crop Protection, and Crop Nutrition. The Seed and Integrated Products segment develops and commercializes seed technology, biotechnological events, germplasm, and seed treatments. The Crop Protection segment develops, produces, and markets adjuvants, insecticides, fungicides, and baits. The Crop Nutrition segment develops, produces, commercializes, and sells inoculants, bio-inductors, and biological and microgranulated fertilizers. In addition, the company offers HB4, a drought tolerant seed technology program. It operates in Argentina, Austria, Bolivia, Brazil, Lebanon, the United States, Italy, Paraguay, the United Kingdom, South Africa, France, Canada, Ukraine, Uruguay, and internationally. The company is headquartered in Rosario, Argentina. Bioceres Crop Solutions Corp. is a subsidiary of Bioceres LLC.
BKTI	Bk Technologies Inc	0	0	1	#{}	#{}	#{"United States"}	BK Technologies Corporation, through its subsidiary, BK Technologies, Inc., designs, manufactures, and markets wireless communications products in the United States and internationally. The company offers two-way land mobile radios (LMR), repeaters, base stations, and related components and subsystems under BK Technologies, BK Radio, and RELM brand names. Its BK Technologies and BK Radio branded products include LMR equipment for professional radio users primarily in government, public safety, and military applications, as well as P-25 digital products; and RELM branded products provide two-way communications for commercial and industrial concerns, such as hotels, construction firms, schools, and transportation services. The company was incorporated in 1997 and is headquartered in West Melbourne, Florida.
CDOR	Condor Hospitality T	0	0	1	#{}	#{}	#{"real estate"}	Condor Hospitality Trust, Inc. (NYSE American: CDOR) is a self-administered real estate investment trust that specializes in the investment and ownership of upper midscale and upscale, premium-branded, select-service, extended-stay, and limited-service hotels in the top 100 Metropolitan Statistical Areas (Â“MSAsÂ”) with a particular focus on the top 20 to 60 MSAs. The Company currently owns 15 hotels in 8 states. Condor's hotels are franchised by a number of the industry's most well-regarded brand families including Hilton, Marriott, and InterContinental Hotels.
CLM	Cornerstone Strategic Value Fund	0	0	1	#{}	#{}	#{"United States"}	Cornerstone Strategic Value Fund, Inc. is a closed-ended equity mutual fund launched and managed by Cornerstone Advisors, Inc. The fund invests in public equity markets across the globe. It seeks to invest in stocks of companies operating across diversified sectors. The fund primarily invests in value and growth stocks of companies. It also invests through other closed-end investment companies and ETF's. Cornerstone Strategic Value Fund, Inc. was formed on May 1, 1987 and is domiciled in the United States.
OGCP	Empire State Realty Op LP Se	0	0	0	#{}	#{}	#{}	Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.
ECF	Ellsworth Convertible Growth and Income	0	0	1	#{}	#{}	#{"United States"}	Ellsworth Growth and Income Fund Ltd. is a closed-ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in the public equity markets. The fund primarily invests in convertible securities. It invests in stocks of companies across market capitalizations. The fund benchmarks the performance of its portfolio against the Bank of America Merrill Lynch All U.S. Convertibles Index, Barclays Balanced U.S. Convertibles Index, and S&P 500 Index. It was formerly known as Ellsworth Fund Ltd. Ellsworth Growth and Income Fund Ltd. was formed on June 27, 1986 and is domiciled in the United States.
ERC	Wells Fargo Advantage Multi-Sector	0	0	1	#{}	#{}	#{"United States"}	Wells Fargo Advantage Multi-Sector Income Fund is a closed-ended fixed income mutual fund launched and managed by Wells Fargo Funds Management, LLC. The fund is co-managed by First International Advisors, Inc. and Wells Capital Management Incorporated. It invests in fixed income markets across the globe. The fund primarily invests in a mix of non-investment-grade corporate debt securities, including bank loan securities, foreign and emerging markets debt securities, adjustable and fixed-rate mortgages, and investment-grade corporate bonds. It was formerly known as Evergreen Multi-Sector Income Fund. Wells Fargo Advantage Multi-Sector Income Fund was formed on June 25, 2003 and is domiciled in the United States.
FSP	Franklin Street Properties	0	0	1	#{}	#{}	#{"real estate"}	Franklin Street Properties Corp., based in Wakefield, Massachusetts, is focused on infill and central business district (CBD) office properties in the U.S. Sunbelt and Mountain West, as well as select opportunistic markets. FSP seeks value-oriented investments with an eye towards long-term growth and appreciation, as well as current income. FSP is a Maryland corporation that operates in a manner intended to qualify as a real estate investment trust (REIT) for federal income tax purposes.
GLO	Clough Global Opportunities Fund	0	0	1	#{}	#{}	#{"United States"}	Clough Global Opportunities Fund is a closed ended balanced mutual fund launched and managed by Clough Capital Partners L.P. It invests in public equity and fixed income markets across the globe. The fund invests in securities of companies operating across diversified sectors. For its fixed income portion, the fund invests in both investment grade and non-investment grade issues. It employs a combination of fundamental and quantitative analysis with bottom-up stock picking approach to create its portfolio. Clough Global Opportunities Fund was formed on January 12, 2006 and is domiciled in the United States.
GLQ	Clough Global Equity Fund	0	0	1	#{}	#{}	#{"United States"}	Clough Global Equity Fund is a closed ended equity mutual fund launched and managed by Clough Capital Partners, L.P. It invests in public equity markets across the globe. The fund seeks to invest in stocks of companies operating across diversified sectors. It employs fundamental and quantitative analysis with a bottom up stock picking approach to create its portfolio, with focus on factors such as a company's competitive position, quality of company management, quality and visibility of earnings and cash flow, balance sheet strength, and relative valuation. The fund follows a theme-based investment process which involves focusing on such events as industry consolidation, technological change, an emerging shortage of a product or raw material, and changes in government regulations. It benchmarks the performance of its portfolio against the S&P 500 Index. Clough Global Equity Fund was formed on January 25, 2005 and is domiciled in the United States.
