symbol	company	yayk	nayk	mayk	wyay	wnay	wmay	desc
SLGG	Super League Gaming Inc	0	0	0	#{}	#{}	#{}	Super League Gaming, Inc. operates an amateur esports content network. The company engages in capturing, generating, aggregating, and distributing content in various esports through social media, live streaming, and video-on-demand, as well as continuous gameplay and leaderboards. It offers Framerate, an independent social video esports network with user-generated reels; and Minehut, a social and gameplay forum for the avid Minecraft community. The company was formerly known as Nth Games, Inc. and changed its name to Super League Gaming, Inc. in June 2015. Super League Gaming, Inc. was incorporated in 2014 and is based in Santa Monica, California.
VMAC	Vistas Media Acquisition Company Inc Cl A	0	0	0	#{}	#{}	#{}	Vistas Media Acquisition Company Inc. does not have significant operations. It focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in New York, New York.
VMACU	Vistas Media Acquisition Company Inc	0	0	0	#{}	#{}	#{}	Vistas Media Acquisition Company Inc. does not have significant operations. It focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in New York, New York.
GNRSU	Greenrose Acquisition Corp	0	0	0	#{}	#{}	#{}	Greenrose Acquisition Corp. does not have significant operations. It focuses on entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more businesses or entities in the cannabis industry. The company was founded in 2019 and is based in Woodbury, New York.
GNRS	Greenrose Acquisition Corp	0	0	0	#{}	#{}	#{}	Greenrose Acquisition Corp. does not have significant operations. It focuses on entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more businesses or entities in the cannabis industry. The company was founded in 2019 and is based in Woodbury, New York.
GHVIU	Gores Holdings Vi Inc	0	0	0	#{}	#{}	#{}	Gores Holdings VI, Inc. does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or business combination with one or more businesses. The company was founded in 2020 and is based in Boulder, Colorado.
YSACU	Yellowstone Acquisition Company Units	0	0	0	#{}	#{}	#{}	Yellowstone Acquisition Company focuses on effecting a merger, capital stock exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in Omaha, Nebraska.
GECC	Great Elm Capital Corp	0	0	0	#{}	#{}	#{}	Great Elm Capital Corporation is a business development company which specializes in loan and mezzanine, middle market investments. The fund prefers to invest in media, commercial services and supplies, healthcare, telecommunication services, communications equipment. It typically makes equity investments between $3 million and $10 million in companies with revenues between $3 million and $75 million.
GBIO	Generation Bio CO	0	0	0	#{}	#{}	#{}	Generation Bio Co., a genetic medicines company, develops gene therapies for the treatment of rare and prevalent diseases. The company is developing a portfolio of programs for rare and prevalent diseases of the liver and retina. It also focuses on the diseases of skeletal muscle, central nervous system, and oncology. The company was formerly known as Torus Therapeutics, Inc. and changed its name to Generation Bio Co. in November 2017. Generation Bio Co. was founded in 2016 and is headquartered in Cambridge, Massachusetts.
BLSA	Bcls Acquisition Corp. Cl A	0	0	0	#{}	#{}	#{}	BCLS Acquisition Corp. intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or related business combination with one or more businesses or entities. The company was founded in 2020 and is based in Boston, Massachusetts.
FWONK	Liberty Media F1 Series K	0	0	0	#{}	#{}	#{}	Formula One Group engages in the motorsports business. It holds commercial rights for the world championship, a motor race-based competition in which teams compete for the constructors' championship and drivers compete for the drivers' championship. The company was founded in 1950 and is based in Englewood, Colorado. Formula One Group is a subsidiary of Liberty Media Corporation.
