Symbol,Description
AACQ,Artius Acquisition Inc Cl A
AAME,Atlantic Amer Cp
AAWW,Atlas Air Ww
AAXN,Axon Inc
ABCB,Ameris Bancorp
ABCL,Abcellera Biologics Inc
ABST,Absolute Software Cp
ABTX,Allegiance Banc CS
ACACU,Acies Acquisition Corp
ACAM,Acamar Partners Acquisition Corp Cl A
ACAMU,Acamar Partners Acquisition Corp Units
ACBI,Atlantic Capital
ACCD,Accolade Inc
ACEV,Ace Convergence Acquisition Corp. Cl A
ACEVU,Ace Convergence Acquisition Corp
ACMR,Acm Research Inc
ACNB,Acnb Corp
ACTC,Arclight Clean Transition Corp. Cl A
ACTCU,Arclight Clean Transition Corp
ADES,Advanced Emissions Solutions Inc
ADOC,Edoc Acquisition Corp Cl A
ADOCR,Edoc Acquisition Corp Right
ADP,Automatic Data Procs
ADTN,Adtran Inc
ADTX,Aditx Therapeutics Inc
ADV,Advantage Solutions Inc
ADVM,Adverum Biotechnlgs
AEGN,Aegion Corp
AEHL,Antelope Enterprise Hldg Ltd
AEHR,Aehr Test Systems
AEPPZ,American Electric Power Company Inc
AESE,Allied Esports Entertainment Inc
AEY,Addvantage Techs Group
AEYE,Audioeye Inc
AFIB,Acutus Medical Inc
AFIN,American Finance Trust Inc Cl A
AFINP,American Finance Trust Inc Pfd Ser A
AGC,Altimeter Growth Corp Cl A
AGCUU,Altimeter Growth Corp
AGFS,Agrofresh Solutions
AGNC,American Capital Age
AGNCM,Agnc Investment Corp Cum Red Pfd Ser D Fixed To
AGNCN,Agnc Investment Corp
AGNCO,Agnc Investment Corp Fxdfr Prf Perpetual USD 25
AGNCP,Agnc Investment Corp
AHAC,Alpha Healthcare Acquisition Corp
AHACU,Alpha Healthcare Acquisition Corp
AHCO,Adapthealth Corp Cl. A
AHPI,Allied Healthcare
AIKI,Alkido Pharma Inc
AINV,Apollo Investment Company
AIRT,Air T Inc
AIRTP,Air T Inc Funding Alpha Income Trust Preferred
AKTS,Akoustis Technologies Inc
AKU,Akumin Inc
AKUS,Akouos Inc
ALGN,Align Technology
ALGS,Aligos Therapeutics Inc
ALJJ,Alj Regional Hold
ALLT,Allot Communications
ALRS,Alerus Financial Corp
ALTA,Altabancorp
ALTR,Altair Engineering Inc Cl A
ALTUU,Altitude Acquisition Corp
ALVR,Allovir Inc
ALXO,Alx Oncology Holdings Inc
AMAL,Amalgamated Bk
AMBA,Ambarella Inc
AMCIU,Amci Acquisition Corp Unit
AMHC,Amplitude Healthcare Acquisition Corp Cl
AMHCU,Amplitude Healthcare Acquisition Corp
AMNB,American Natl Bksh
AMRB,American River Bkshs
AMRS,Amyris Inc
AMSC,Amer Superconductor
AMSF,Amerisafe Inc
AMST,Amesite Inc
AMTB,Mercantil Bank Holding Cl A
AMTBB,Mercantil Bank Holding Cl B
AMTI,Applied Molecular Transport Inc
ANAT,Amer Natl Insurance
ANNX,Annexon Inc
AOSL,Alpha and Omega Semi
AOUT,American Outdoor Brands Inc
APPN,Appian Corp Cl A
APWC,Asia Pacific Wire & Cable
APXT,Apex Technology Acquisition Corp Cl A
APXTU,Apex Technology Acquisition Corp
ARBGU,Aequi Acquisition Corp
ARCE,Arco Platform Ltd Cl A
AROW,Arrow Financial Corp
ARTL,Artelo Biosciences Inc
ARTW,Art S Way MFG Company
ARYA,Arya Sciences Acquisition Corp III Cl A
ASPS,Altisource Portfolio
ASPU,Aspen Group Inc
ASRV,Ameriserv Financial
ASTC,Astrotech Corp
ASUR,Asure Software
ASYS,Amtech Systems Inc
ATAX,Amer First Mf Inv
ATCX,Atlas Technical Consultants Inc
ATEX,Pdvwireless
ATHA,Athira Pharma Inc
ATLC,Atlanticus Hld Cp
ATLO,Ames Natl Corp
ATNF,180 Life Sciences Corp
ATNI,Atn International
ATOM,Atomera Inc
ATRI,Atrion Corp
ATRO,Astronics Cp
ATRS,Antares Pharma
ATSG,Air Transport
AUB,Atlantic Union Bancshares Corp
AUBAP,Atlantic Union Bankshares Corp
AUBN,Auburn Natl Bncp
AUVI,Applied Uv Inc
AVCT,American Virtual Cloud Tech Inc
AVGOP,Broadcom Inc 8% Prf Undated USD 1000 Ser A
AVT,Avnet Inc
AWH,Aspira Womans Health Inc
AWRE,Aware Inc
AXDX,Accelerate Diagnosti
AXTI,Axt Inc
AZYO,Aziyo Biologics Inc Cl A
BAND,Bandwidth Inc
BANF,Bancfirst Corp
BANR,Banner Corp
BANX,Stonecastle Fncl Cp
BASI,Bioanalytical Syst
BATRA,Liberty Braves CS A
BATRK,Liberty Braves CS C
BBCP,Concrete Pumping Holdings Inc
BBGI,Beasley Brdcst Gr
BBI,Brickell Biotech Inc
BCAB,Bioatla Inc
BCBP,Bcb Bancorp Inc
BCDA,Biocardia Inc
BCML,Bay Commercial Bk CA
BCOV,Brightcove Inc
BCOW,1895 Bancorp of Wisconsin Inc
BCTG,Bctg Acquisition Corp
BDGE,Bridge Bancorp Inc
BDSX,Biodesix Inc
BECN,Beacon Roofing Suppl
BELFA,Bel Fuse Cl A
BELFB,Bel Fuse Inc Cl B
BFC,Bank First National Corp [Wisconsin]
BFIN,Bankfinancial Corp
BFST,Business First Bancshares Inc
BGCP,Bgc Partners Cl A
BHF,Brighthouse Financial Inc
BHFAN,Brighthouse Financial Inc
BHFAO,Brighthouse Financial Inc
BHFAP,Brighthouse Financial Inc Dep Shs Repstg 1/1000T
BHSEU,Bull Horn Holdings Corp
BHTG,Biohitech Global Inc
BIVI,Biovie Inc
BKCC,Blackrock Cptl Invt
BKSC,Bank of So Car Cp
BL,Blackline Inc
BLI,Berkeley Lights Inc
BLIN,Bridgeline Digital
BLKB,Blackbaud Inc
BLSA,Bcls Acquisition Corp. Cl A
BLUWU,Blue Water Acquisition Corp
BMRC,Bank of Marin Bancrp
BMTC,Bryn Mawr Bank Corp
BNFT,Benefitfocus
BOCH,Bank of Commerce Hld
BOKF,Bok Financial Corp
BOKFL,Bok Financial Corp
BOMN,Boston Omaha Corp Cl A
BOSC,Bos Better Online
BOTJ,Bank of The Jame Fnl
BOWX,Bowx Acquisition Corp. Cl A
BOWXU,Bowx Acquisition Corp
BOXL,Boxlight Corp Cl A
BPFH,Boston Pvt Finl Hld
BPOP,Popular Inc
BPRN,Bank of Princeton
BPYU,Brookfield Property REIT Inc
BPYUP,Brookfield Property REIT Inc 6.375% Series A
BRKL,Brookline Bancorp
BROG,Brooge Holdings Ltd
BRP,Brp Group Inc Cl A
BRPA,Big Rock Partners Acquisition Corp
BRPAU,Big Rock Partners Acquisition Corp
BSBK,Bogota Financial Corp
BSQR,Bsquare Corp
BSRR,Sierra Bancorp
BSVN,Bank7 Corp
BSY,Bentley Systems Incorporated Cl B
BTAQ,Burgundy Technology Acquisition Corp Cl A
BTAQU,Burgundy Technology Acquisition Corp
BTWNU,Bridgetown Holdings Limited Units
BUSE,First Busey Corp
BWACU,Better World Acquisition Corp
BWB,Bridgewater Bancshares Inc
BWFG,Bankwell Financial
BXRX,Baudax Bio Inc
BYFC,Broadway Fin Cp
CAC,Camden Natl Cp
CALB,California Bancorp
CAMP,Calamp Corp
CAPA,Highcape Capital Acquisition Corp Cl A
CAPAU,Highcape Capital Acquisition Corp
CARE,Carter Bankshares Inc
CARV,Carver Bancorp
CASA,Casa Systems Inc
CASH,Meta Financial Group
CASS,Cass Information Sys
CATC,Cambridge Bancorp
CATY,Cathay Genl Bncp
CBAN,Colony Bankcorp Inc
CBFV,Cb Financial Svc
CBMB,Cbm Bancorp Inc
CBNK,Capital Bancorp Inc
CBSH,Commerce Bancshares
CBTX,Cbtx Inc
CCAP,Crescent Capital Bdc Inc
CCB,Coastal Financial Corp
CCBG,Capital City Bank Gr
CCCC,C4 Therapeutics Inc
CCD,Calams Dy Cnv IN
CCNE,Cnb Financial Corp
CCNEP,Cnb Financial Corp
CCRN,Cross Ctry Hlthcr
CDAK,Codiak Biosciences Inc
CDLX,Cardlytics Inc
CDMOP,Avid Bioservices Inc
CDNA,Caredx Inc
