symbol	company	yayk	nayk	mayk	wyay	wnay	wmay	desc
ASAN	Asana Inc Cl A	0	0	0	#{}	#{}	#{}	Asana, Inc. operates a work management platform for individuals, team leads, and executives. It provides work management platform as software as service that enables individuals and teams to get work done faster while enhancing employee engagement by allowing everyone to see how their work connects to the broader mission of an organization. The company was formerly known as Smiley Abstractions, Inc. and changed its name to Asana, Inc. in July 2009. Asana, Inc. was founded in 2008 and is headquartered in San Francisco, California.
DGNR	Dragoneer Growth Opportunities Corp Cl A	0	0	0	#{}	#{}	#{}	Dragoneer Growth Opportunities Corp. intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or related business combination with one or more businesses. The company was founded in 2020 and is based in San Francisco, California.
HPX	Hpx Corp Cl A	0	0	0	#{}	#{}	#{}	HPX Corp. intends to effect a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in Wilmington, Delaware.
TREB	Trebia Acquisition Corp Cl A	0	0	0	#{}	#{}	#{}	Trebia Acquisition Corp. focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in New York, New York.
SPNV	Supernova Partners Acquisition Company Inc Cl A	0	0	0	#{}	#{}	#{}	Supernova Partners Acquisition Company, Inc. focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company was founded in 2020 and is based in Washington, D.C., District of Columbia.
ASAQ	Atlantic Street Acquisition Corp Cl A	0	0	0	#{}	#{}	#{}	Atlantic Avenue Acquisition Corp intends to effect a merger, share exchange, asset acquisition, stock purchase, reorganization, recapitalization, or other similar business combination with one or more businesses. Atlantic Avenue Acquisition Corp was founded in 2020 and is based in Stamford, Connecticut.
SNPR	Tortoise Acquisition Corp. II Cl A	0	0	0	#{}	#{}	#{}	Tortoise Acquisition Corp. II focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in Leawood, Kansas.
DS	Drive Shack Inc	0	0	11	#{}	#{}	#{"technology" "Golf" "United States" "golf"}	Drive Shack Inc. owns and operates golf-related leisure and entertainment venue business. It operates through Entertainment Golf Venues and Traditional Golf Properties segments. The Entertainment Golf Venues segment operates entertainment golf venues in Raleigh, North Carolina; Richmond, Virginia; and West Palm Beach, Florida. Its entertainment golf venues offer sports and social entertainment services with gaming and golf technology, a chef-inspired menu, and craft cocktails, as well as social events. The Traditional Golf Properties segment owns and operates golf properties in the United States. As of December 31, 2019, it owned, leased, or managed 59 properties in 9 states. Drive Shack Inc. also invests in loans and securities. The company was formerly known as Newcastle Investment Corp. and changed its name to Drive Shack Inc. in December 2016. Drive Shack Inc. was founded in 2002 and is headquartered in New York, New York.
AGM	Federal Agricultural Mortgage Corp	0	0	9	#{}	#{}	#{"utilities" "United States" "Agriculture" "real estate" "Utilities"}	Federal Agricultural Mortgage Corporation provides a secondary market for various loans made to borrowers in the United States. It operates through four segments: Farm & Ranch, USDA Guarantees, Rural Utilities, and Institutional Credit. The Farm & Ranch segment purchases and retains eligible mortgage loans that are secured by first liens on agricultural real estate; securitizes eligible mortgage loans, and guarantees the timely payment of principal and interest on securities representing interests in or obligations secured by pools of mortgage loans; and issues long-term standby purchase commitments (LTSPC) on designated eligible mortgage loans. The USDA Guarantees segment purchases portions of certain agricultural and rural development loans guaranteed by the United States Department of Agriculture (USDA). The Rural Utilities segment purchases and guarantees securities that are backed by eligible rural utilities loans; and issues LTSPCs for pools of eligible rural utilities loans. The Institutional Credit segment engages in purchasing and guaranteeing general obligations of lenders and other financial institutions that are secured by pools of loans eligible under the Farm & Ranch, USDA Guarantees, or Rural Utilities lines of business. Federal Agricultural Mortgage Corporation was founded in 1987 and is headquartered in Washington, District of Columbia.
CLNC	Colony Northstar Credit Real Estate Inc Class	0	0	8	#{}	#{}	#{"Real Estate" "United States" "real estate"}	Colony Credit Real Estate, Inc. operates as a commercial real estate (CRE) credit real estate investment trust in the United States. It focuses on originating, acquiring, financing, and managing a portfolio of CRE senior mortgage loans, mezzanine loans, preferred equity, debt securities, and net leased properties. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was formerly known as Colony NorthStar Credit Real Estate, Inc. and changed its name to Colony Credit Real Estate, Inc. in June 2018. Colony Credit Real Estate, Inc. was founded in 2017 and is headquartered in Los Angeles, California.
