Symbol,Description
FIT,Fitbit Inc
PLNT,Planet Fitness
EVH,Evolent Health Inc Cl A Com
CSLT,Castlight Health Inc
PKE,Park Electrochemical Corp
AGX,Argan Inc
CIR,Circor International
NVST,Envista Holdings Corp
VCRA,Vocera Communications Inc
NLS,Nautilus Group
DFNS,LGL Systems Acquisition Corp
HWM,Howmet Aerospace Inc
ADT,ADT Inc
IRR,VOYA Risk Managed Natural Resources Fund
GDOT,Green Dot Corp
WMS,Advanced Drainage Systems Inc
CIXX,CI Financial Corp OR
PACK,Ranpak Holdings Corp
CALX,Calix Inc
KMPR,Kemper Corp
GRX,The Gabelli Healthcare & Wellness Trust
YELP,Yelp Inc
VRT,Vertiv Holdings Llc.
STT,State Street Corp
AMWL,American Well Corp Cl A
RGA,Reinsurance Group of America Inc
KODK,Eastman Kodak
VCIF,Vertical Capital Income Fund Common Shares of BE
PLAN,Anaplan Inc
VVI,Viad Corp
CNO,Cno Financial Group
DBD,Diebold Nixdorf Inc
OOMA,Ooma Inc
NEA,Nuveen Insured Tax-Free Advantage Fund
ESRT,Empire State Realty Trust Inc
CNS,Cohn & Steers Inc
AVTR,Avantor Inc
RLI,Rli Corp
BCX,Blackrock Resources
RJF,Raymond James Financial
WBS,Webster Financial Corp
MHE,Massachusetts Health and Education Tax-Exempt TR
EVRI,Everi Holdings Inc
RGS,Regis Corp
SF,Stifel Financial Corp
BEN,Franklin Resources
GHL,Greenhill & CO Inc
ACM,Aecom Technology Corp
KAMN,Kaman Corp
YEXT,Yext Inc
BDC,Belden Inc
TFC,Truist Financial Corp
TEAF,Tortoise Essential Assets Income Term Fund
SRV,The Cushing MLP Total Return Fund
PRA,Pro-Assurance Corp
PNF,Pimco New York Muni
PIPR,Piper Jaffray Companies
OIA,Invesco Muni Income Trust
NIE,Agic Equity & Convertible
MPLN,Multiplan Corp
IQI,Invesco Quality Muni Income Trust
IIM,Invesco Insured Muni Income Trust
HRB,H&R Block
FCF,First Commonwealth Financial Corp
EEX,Emerald Expositions Events Inc
EB,Eventbrite Inc
CSPR,Casper Sleep Inc
BYM,Blackrock Muni Income Quality Trust
ETM,Entercom Communications Corp
BAF,Blackrock Income Inv Quality Trust
AMBC,Ambac Financial Group
BGR,Blackrock Energy and Resources Trust
C,Citigroup Inc
ZUO,Zuora Inc
FUSE,Fusion Acquisition Corp Cl A
AC,Associated Capital Group Inc
RLGY,Realogy Holdings Corp
KW,Kennedy-Wilson Holdings Inc
AMG,Affiliated Managers Group
WY,Weyerhaeuser Company
PMO,Putnam Muni Opportunities Trust
AVLR,Avalara Inc
VRTV,Veritiv Corp
HRTG,Heritage Insurance Holdings
VLT,Invesco High
VKQ,Invesco Muni Trust
IVZ,Invesco Plc
FHI,Federated Investors
PRSP,Perspecta Inc
SCHW,The Charles Schwab Corp
DBI,Designer Brands Inc
CBU,Community Bank System
RICE,Rice Acquisition Corp Cl A
RA,Brookfield Real Assets Income Fund Inc
BSN,Broadstone Acquisition Corp Cl A
BSIG,Brightsphere Investment Group Plc
AIR,AAR Corp
ASB,Associated Banc-Corp
TSLX,Tpg Specialty Lending Inc
DLX,Deluxe Corp
BHLB,Berkshire Hills Bancorp
SCM,Stellus Capital Investment Cor
APAM,Artisan Partners Asset Mgmt
AVYA,Avaya Holdings Corp
GMRE,Global Medical REIT Inc
MBI,MBIA Inc
RM,Regional Managment Corp
DOC,Physicians Realty Trust
MAX,Mediaalpha Inc Cl A
AB,Alliancebernstein Holding LP
PZN,Pzena Investment Management Inc
AJX,Great Ajax Corp
PRI,Primerica Inc
VVR,Invesco Senior Income Trust
BK,Bank of New York Mellon Corp
LPX,Louisiana-Pacific Corp
MTB,M&T Bank Corp
DTF,Duff & Phelps Utilities Tax-Free Income
KEY,Keycorp
HIL,Hill International Inc
GAM,General American Investors
GWB,Great Western Bancorp Inc
VTN,Invesco Trust New York Muni
WK,Workiva Llc
VTA,Invesco Dynamic Credit Fund
VPV,Invesco Pennsylvania Muni
VOYA,VOYA Financial Inc
VMO,Invesco Muni Opportunity Trust
VGM,Invesco Trust For Investment Grade Municipals
VCV,Invesco California Value Muni Income Trust
MXL,Maxlinear Inc
DS,Drive Shack Inc
AGM,Federal Agricultural Mortgage Corp
FEI,First Trust MLP and Energy Inc
CLNC,Colony Northstar Credit Real Estate Inc Class
ACRE,Ares Commercial Real Estate Cor
PGZ,Principal Real Estate Income F
XAN,Exantas Capital Corp
RDN,Radian Group Inc
STWD,Starwood Property Trust
STK,Columbia Seligman Premium Technology
TRTX,Tpg Re Finance Trust Inc
PFS,Provident Financial Services
SCU,Sculptor Capital Management Inc
TPZ,Tortoise Power and Energy
MFD,Macquarie/First Trust Global
MIE,Cohen & Steers MLP Income and
ARI,Apollo Commercial Real Estate
HTY,John Hancock Tax-Advantaged Global
CEM,Clearbridge Energy MLP Fund Inc
WD,Walker & Dunlop
