symbol	company	yayk	nayk	mayk	wyay	wnay	wmay	desc
EAXR	Ealixir, Inc.	1	0	0	#{"health"}	#{}	#{}	Ealixir, Inc. operates in the digital industry in Italy and internationally. The company enables its clients to control and edit information posted or available on the internet. It provides various services to individuals and businesses, including Ealixir Removal, which protects the reputation of clients on the worldwide web utilizing its technological platform; Ealixir Story that assists clients in writing customized information for uploading onto the web; NewsDelete, which filters harmful financial information and misinformation from social engines; and WebID that prepares detailed reports for individuals, brands, and companies understanding the health status of a digital entity. The company was founded in 2018 and is based in Milan, Italy.
APHWF	Apollo Healthcare Corp.	1	0	0	#{"Canada"}	#{}	#{}	Apollo Healthcare Corp. is a private equity firm specializing in buyouts. It prefer to invest in founder-led businesses, carve-outs of non-core assets, industry consolidation, and growth-oriented businesses. The firm prefers to invest in private label consumer staples and aviation finance and asset management companies. It prefer to have majority stake in companies. Acasta Enterprises Inc. was founded in 2015 and is based in Toronto, Canada.
GTPS	Great American Bancorp, Inc.	1	0	1	#{"health"}	#{}	#{"real estate"}	Great American Bancorp, Inc. operates as a thrift holding company for First Federal Savings Bank of Champaign-Urbana that provides various banking and financial services to individual and corporate customers primarily in Champaign County, Illinois. Its deposit products include demand deposits, savings accounts, time deposits, money market accounts, and certificates of deposit. The company's loan products comprise 1-4 family residential mortgage loans; loans secured by multi-family residential real estate and commercial properties or land; construction loans, including 1-4 family, multi-family, and commercial construction loans; commercial loans; and consumer loans comprising home equity loans, auto and mobile home loans, other secured and unsecured loans, and lines of credit. It also provides full service brokerage activities through a third-party broker-dealer; and sells tax deferred annuities. In addition, the company offers insurance products, including life, health, auto, property, and casualty insurance to individuals and businesses. Great American Bancorp, Inc. was founded in 1908 and is based in Champaign, Illinois.
OTFT	Out Front Companies Inc.	1	0	0	#{"solar"}	#{}	#{}	Out Front Companies Inc. manufactures and distributes LED lighting products and thin film solar panels, granular deodorizers, and non-toxic chemical products. The company was formerly known as Miracle Applications Corporation and changed its name to Out Front Companies Inc. in December, 2010. Out Front Companies Inc. is based in West Palm Beach, Florida.
MCPH	Midland Capital Holdings Corp.	1	0	1	#{"health"}	#{}	#{"real estate"}	Midland Capital Holdings Corp. operates as the holding company for Midland Federal Savings and Loan Association that provides various banking products and services to individuals and businesses. The company accepts checking, savings, certificates of deposit, money market, individual retirement, and Christmas club accounts. Its loan products include consumer, business, home mortgage, multi-family, construction, home equity, and home improvement loans. The company also offers ATM/debit and check cards; homeowners, mortgage, automobile, Medicare supplements, condo/renters package, group and individual health, SMP or business owners, and life/term/disability insurance products; investment services comprising annuities, retirement planning, stocks and bonds, mutual funds, business retirement plans, education planning, and tax efficient investments; and real estate tax and land trust services. In addition, it provides merchant card, direct deposit, remote deposit capture, internet banking, online bill payment, safe deposit boxes, wire transfer, notary public, ATM, telephone banking, night depository, money orders, and cashier's checks services. The company was founded in 1914 and is based in Bridgeview, Illinois.
HXBM	Helix BioMedix, Inc.	1	0	1	#{"health"}	#{}	#{"United States"}	Helix BioMedix, Inc. operates as a specialty dermatology and consumer products skin health company in the United States. It develops and commercializes bioactive peptides, including anti-infective, anti-fungal, and anti-inflammatory peptides for the treatment of skin and wound infections, as well as for the prevention of staphylococcus aureus infections. The company also out-licenses its proprietary peptides to various entities. Helix BioMedix, Inc. was founded in 1988 and is headquartered in Bothell, Washington.
NCNB	Northern California National Bank	1	0	1	#{"health"}	#{}	#{"real estate"}	Northern California National Bank provides various financial products and services for small to medium businesses, agricultural operators, business professionals, and individuals in Butte County. It offers personal, heritage, and business checking accounts; business interest checking accounts; personal and business money market accounts; personal, youth, and business savings products; health savings accounts; individual retirement accounts; and certificates of deposit. The company also provides auto, home mortgage, personal, commercial, commercial/agricultural real estate, and construction loans; home equity lines of credit; and agricultural production loans and lines of credit. In addition, it offers ATM, debit, and credit cards; and bill pay, automated clearing house origination, remote deposit capture, and online banking services. Northern California National Bank was founded in 2006 and is based in Chico, California.
GNLKQ	GeneLink, Inc.	1	0	0	#{"health"}	#{}	#{}	GeneLink, Inc. offers 12-gene DNA assessment services. The company also provides health custom supplements. In addition, it formulates a line of skin care products. The company was founded in 1994 and is based in Orlando, Florida.
PKTX	ProtoKinetix, Incorporated	1	0	2	#{"crop"}	#{}	#{"technology" "food"}	ProtoKinetix, Incorporated, a research and development stage bio-technology company, focuses on the scientific medical research of anti-freeze glycoproteins (AFGPs) or anti-aging glycoproteins (AAGPs). The company's AFGPs have commercial applications primarily in food and crop preservation at freezing temperatures. Its AAGPs have commercial applications in the harvesting, storage, and transplantation of cells, tissues, and organs; and treatments for conditions and diseases caused by stress factors, including UV radiation, oxidation, and inflammation. The company has collaboration agreement with the University of British Columbia to test neuronal retinal cells in living tissue for the treatment of macular degeneration; and research agreement with the University of Dalhousie to examine the effects of AAGP in transplant medicine. It develops AAGP to treat Dry Eye Disease therapy. The company was formerly known as RJV Network, Inc. and changed its name to ProtoKinetix, Incorporated in July 2003. ProtoKinetix, Incorporated was founded in 1999 and is based in Marietta, Ohio.
NWPP	New Peoples Bankshares, Inc.	1	0	1	#{"health"}	#{}	#{"United States"}	New Peoples Bankshares, Inc. operates as a financial holding company for New Peoples Bank, Inc. that provides banking and financial services to individuals, small to medium size businesses, and the professional community in the United States. The company offers checking and savings accounts, time deposits, interest-bearing and noninterest bearing demand deposits, health savings, money market deposit accounts, certificates of deposit, and individual retirement accounts. It also provides commercial and industrial loans; residential mortgage loans, such as residential first and second mortgage loans, residential construction loans, home equity lines of credit, and term loans; construction loans; and consumer loans, including secured and unsecured loans for financing automobiles, home improvements, education, personal investments, and other purposes. In addition, the company offers fixed income products, fixed and variable annuities, mutual funds, long term care insurance products, employee group benefit plans, college savings plans, financial planning services, managed money accounts, estate planning services, fee based asset management services, and other investment products. Further, it provides safe deposit boxes, cashier's checks, cash management services, direct deposit of payroll and social security checks, and automatic drafts for various accounts; ATM card and credit card services; and electronic banking services, such as debit card, Internet banking, telephone banking, mobile banking, remote deposit capture, merchant transaction processing, and wire transfer services, as well as operates walk-up tellers, drive-in windows, and interactive teller machines. As of December 31, 2019, it had 18 full service branches in Virginia, West Virginia, and Tennessee; 1 limited service branch in Pound, Virginia; and a loan production office in Kingsport, Tennessee. New Peoples Bankshares, Inc. was founded in 1997 and is headquartered in Honaker, Virginia.
