Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,18.000000,0.000000,950,Common Stock,USA,Michigan
MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX U.S. Premier,29.600000,,0,Preferred Stock,USA,Michigan
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX U.S. Premier,35.250000,-0.704200,170,Common Stock,USA,Maryland
STBI,STURGIS BANCORP INC,OTCQX U.S. Premier,19.000000,0.000000,503,Common Stock,USA,Michigan
PSBP,PSB HOLDING CORP,OTCQX U.S. Premier,22.500000,,0,Common Stock,USA,Maryland
OCBI,ORANGE CTY BNCRP INC,OTCQX U.S. Premier,26.500000,-0.934600,809,Common Stock,USA,New York
MNBP,MARS BANCORP INC,OTCQX U.S. Premier,347.000000,0.000000,1,Common Stock,USA,Pennsylvania
MNAT,MARQUETTE NATL CORP,OTCQX U.S. Premier,26.200000,1.786700,46,Common Stock,USA,Illinois
KISB,KISH BANCORP INC,OTCQX U.S. Premier,29.000000,,0,Common Stock,USA,Pennsylvania
KCLI,KANSAS CITY LIFE INS NEW,OTCQX U.S. Premier,37.500000,1.351400,3625,Common Stock,USA,Missouri
FBAK,FIRST NB ALASKA,OTCQX U.S. Premier,188.800000,-0.105800,189,Common Stock,USA,Alaska
FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,22.000000,1.851900,100,Common Stock,USA,Michigan
ENBP,ENB FINANCIAL CORP PA,OTCQX U.S. Premier,18.700000,0.808600,354,Common Stock,USA,Pennsylvania
CNIG,CORNING NATURAL GAS HLDG,OTCQX U.S. Premier,15.340000,2.198500,118,Common Stock,USA,New York
CBAF,CITBA FINANCIAL CORP,OTCQX U.S. Premier,28.000000,0.000000,1147,Common Stock,USA,Indiana
CPTP,CAPITAL PROPERTIES INC A,OTCQX U.S. Premier,12.500000,,0,Common Stock,USA,Rhode Island
KTYB,KENTUCKY BANCSHARES INC,OTCQX U.S. Premier,20.500000,2.244400,500,Common Stock,USA,Kentucky
BHWB,BLACKHAWK BANCORP INC,OTCQX U.S. Premier,26.680000,,17,Common Stock,USA,Wisconsin
CFNB,CALIF FIRST NATL BANCORP,OTCQX U.S. Premier,15.250000,,240,Common Stock,USA,California
BNCC,BNCCORP INC,OTCQX U.S. Premier,44.199900,12.611200,15264,Common Stock,USA,North Dakota
CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,16.850000,-0.059300,1850,Common Stock,USA,Pennsylvania
DBIN,DACOTAH BANKS INC,OTCQX U.S. Premier,27.100000,,0,Common Stock,USA,South Dakota
HLAN,HEARTLAND BANC CORP,OTCQX U.S. Premier,79.000000,3.947400,429,Common Stock,USA,Ohio
CMTV,COMMUTY BANCORP VT,OTCQX U.S. Premier,15.000000,0.000000,200,Common Stock,USA,Vermont
FMBM,F & M BANK CORP,OTCQX U.S. Premier,23.060000,,40,Common Stock,USA,Virginia
